MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIt makes me so happy to befriend another\nDivine Dragon. We have so much to talk about!\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nI look forward to chatting as well. I'm sure we'll\nbecome good friends. Tell me all about yourself.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIsn't it funny? We're both Divine Dragons, but\nyour hair is different colors. I love it!\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nWhy thank you, Tiki. Your hair is very pretty\ntoo. The green gives you a rather mystical air.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リュール\nSometimes I have these bad dreams...especially\nafter fighting the Corrupted.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04チキ\nI used to have bad dreams when I was all alone.\nBut I'm OK now, because everyone's with me!\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x06\x04チキ\nSo I'm gonna stay right by your side. That way,\nI can fend off all the scary dreams.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nThank you, Tiki. I'm glad to have you with me.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nWe stewards have served the Divine Dragon for\ngenerations. It is an honor to serve you as well.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04チキ\nIn that case, I wanna become friends! Let's get\nto know each other and talk about everything!\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, what are you doing with those little wooden\nsticks? It looks fun! Can I watch?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCertainly. I am delighted to have piqued your\ninterest, Lady Tiki. This is called lace knitting.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEven though I'm not a Divine Dragon of this\nworld, you still want to be my friend?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIt is not your being a Divine Dragon that truly\nmatters to me, but who you are as a person.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nHuman or dragon, the heart is what's important.\nYours is pure, and I'm grateful to fight by you.\x0E\x04\x00\x00
