MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Veyle, forgive the interruption, but I'd\nlike to formally introduce myself.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHuh? Marni, is that you?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nマデリーン\nMadeline, actually. Pleased to make\nyour acquaintance.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh... Yes, of course. Nice to meet you.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nAnd you. I swear, as a knight, I will do all I can\nto support you in battle.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	You know, Mauvier told me about you... He said\nyou were strict but kind and noble.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier? You must mean...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nSorry, yes. The one from my world.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	But from fighting by your side, I believe you're\nquite similar to the Veyle he spoke of.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nThank you.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Really, that's kind...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nマデリーン\nIs something wrong? The way you're looking at\nmy face...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Oh no! Do I have something in my teeth?\nExcuse me while I find a mirror.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nNo, it's not that... You just look like someone\nI used to know.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Your smile... It reminds me of hers. She had\nsuch a lovely smile.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nHow kind of you to say so. My parents liked to\nsay that one's face reflects one's inner self.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	So in complimenting my smile, I feel as if you're\npraising my very soul.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Not that praise is what ultimately matters. As a\nknight, I care only about doing what's right.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nYou don't...care about praise...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nOh dear! I meant no offense. Really, I did\nappreciate the compliment.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nIt's not that. You've been perfectly kind.\nThis is my fault.\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Please, excuse me. We'll have to chat some\nother time.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nマデリーン\nOf course, Lady Veyle... I look forward to it.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMadeline, I'm sorry for getting so emotional the\nlast time we spoke.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nNo need to apologize, Lady Veyle. I just hope\nthat you're all right.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nI am. But I want to talk to you about something.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nCertainly. It would be my privilege to hear what\nyou have to say.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nThank you.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	You see, it's about a knight named Marni.\nSomeone you resemble.\x0E\x04\x02\x00
