MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou never fail to lift my spirits, Micaiah. I think\nit's that gentle smile you always wear.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI smile most when you're around. There's just\nsomething warm and comforting about you.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nOut of curiosity, are there dragons in your\nworld too?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nYes. We have wyverns, and humans who turn\ninto dragons. But they're not divine, like you.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nI'm afraid sometimes my own power won't be\nenough. Would you read my future for me?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nI see a bright future for you. One that you'll\nforge with all the friends at your side.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nBut I don't need any special foresight to know\nthat. You're strong enough to overturn any fate.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nThank you. I shouldn't doubt myself so much,\nhuh? I think I can do it...with your help, anyway.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nWhat is to be done? The Divine Dragon always\nputs others first, never taking a moment's rest.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nI don't know... Such dedication is one of the\nDivine Dragon's loveliest qualities.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDo you enjoy apples, Lady Micaiah? I have such\nan appetite for them.\x0E\x04\x00\x00
