MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nYour hair shines bright like fire. It is a beacon\non the battlefield.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04ロイ\nThank you. It comes from my father, so you\ncould say I'm proud of it.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nAn entire shaker, Nel? I can't imagine any food\nneeding that much salt.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIt is a pity you will never be able to taste my\ngift to culinary advancement.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nYou always face danger without any hesitation.\nI wonder if you even have the capacity for fear.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04ロイ\nOf course I feel fear. Courage is just deciding\nthat something else is more important.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04ロイ\nFor me, that's fighting alongside my friends.\nI want to help and protect them.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nI understand. And I hope that you will consider\nme to be one of those friends.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nAlthough my strength is all that is needed in\nbattle...your help will not go amiss.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04ロイ\nI'm glad you think so. I look forward to helping\nout as I can.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nYour father...what was he like?\x0E\x04\x00\x00
