MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, do you have a moment to talk? I'd like\nto learn more about the world you're from.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nI can spare you a moment. But no more.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nYour battle strategy is always so calm and\nlogical. I should probably try to think that way...\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nWe each have things we are and are not suited\nfor. Calm rationale may not be yours.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou seem so dauntless in battle. I wish I was\nlike you. I always get nervous at the start.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nA strategist can't afford the luxury of nerves.\nNeither can someone in your position.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nYou're right. I've got to do my best to stay\nconfident, no matter the unknowns.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nFocus on one decision at a time. Hindsight will\nreveal whether you made the right choices.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Soren, I look forward to learning what plans\nyou have devised at today's war council.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nI am not sure how much I can help this group,\nbut I will do what I can.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nThe Divine Dragon is sometimes too polite.\nYour frank observations are appreciated.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nThank you. It's been a while since I've heard\nas much.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nI must apologize again for asking you to say\nwhat everyone else was afraid to voice.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nI simply offered my advice. Nothing more.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nWell...it is still reassuring having an adviser\nsuch as you among us.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nLet us hope your faith is well-placed.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nYou've been standing there for some time. What\nexactly are you doing?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, just worshipping the Divine Dragon from\nafar. Take a look! So regal, so...sublime.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nI work hard to serve the Divine Dragon. There's\nnothing better than making someone happy.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nI suppose I can understand that sentiment.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Soren, do you like meat? I thought I saw\nyou researching it the other day.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNot personally, no.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nOh. Never mind then. I guess you wouldn't be\ninterested in this amazing new recipe I found...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNot so fast. Tell me more.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nIsn't the Divine Dragon particularly stunning\ntoday? Like a never-ending gift...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nA gift? What are you talking about? Why aren't\nyou making sense?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nLord Soren, can you help me think up a cheer to\ninspire the Divine Dragon during training?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nA cheer? I suppose it may improve morale...\x0E\x04\x00\x00
