MID_WU_C_1_IN_#001	우후후, 푹 주무시고 계시는구나.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	안녕하세요, 신룡 님.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	아직도 졸리시면\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	제가 무릎베개를 해 드릴까요?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	천진난만한 얼굴이시네.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	천 년 동안 주무셨다는 게 안 믿겨…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	훨씬 연상이신데도 나도 모르게 지키고 싶어져.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	어머, 좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	기분은 어떠세요?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	필요하신 게 있으시면\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	제게 말씀해 주세요… 후훗.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	어머, 멋진 광경이야… 마치 동화 같아.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	이 방의 광경은 한 폭의 그림 같아서\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	넋을 잃고 보게 돼요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	맞다, 깨워 드릴 거면 아침밥을 가지고 왔어야 했나?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	하지만 지금은 이…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	노점에서 산 별미밖에 없는데. 음…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	저기, 신룡 님께서는 일어나시면 어떤 걸 드시나요?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	생선 내장을 튀긴 거라도…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	아뇨, 방금 얘기는 잊어 주세요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 님을 깨워 드리는 건\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	두근거리는걸.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	이번에는 바로 일어나셔서 좀 아쉬워요…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	나중에 또 올게요.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	잠든 모습도 예쁘시다…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	동화 속 왕자님은\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	잠든 공주를 깨우러 올 때 분명\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	이런 기분이었겠지?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	내가 왕자 역할을 맡는 건 무리겠지만.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	일어나셨어요, 신룡 님?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	오늘도 분명 멋진 하루가 기다릴 거예요.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	마음껏 즐겨 주세요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	여기에 잠드신 분께서는 역시 특별하다고… 생각하게 돼.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	어머나, 듣고 계셨어요?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	불쾌하셨다면 죄송해요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	후후, 그런데 수면 습관은 평범한 사람과 다를 게 없으셨네요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	저번 일에 대한 사과의 의미로…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	심해어 초절임은 드시지 않았으니까\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	이번엔 아끼는 별미를 가져왔어요. 어떠세요…?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	이건 유충을 벌꿀에 절인 거예요. 달콤하고 정말 맛있…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	어라?! 신룡 님, 정신 차리세요. 신룡 님?!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	후우, 오늘은 음식을 사다 보니 늦어 버렸어.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	냄새에 이끌려 일어나셨나요?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	오늘은 특이한 구이를 가지고 왔어요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	뭘 구웠는지는… 우후후, 비밀이에요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	하아, 좋은 냄새…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	진귀한 뱀 구이를 살 수 있을 거라고는 생각지도 못했어.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	조금 맛만…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	안 돼, 신룡 님 앞에서 이래서는… 하지만…!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	아, 신룡 님. 좋은 아침이에요!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	…꿀꺽. 실례했어요.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	신룡 님, 좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	아뇨, 딱히. 아무것도 안 먹었는걸요.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	신룡 님 이야기가 동화가 된다면 분명\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	시작은 이 방이겠지?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	그래… 그리고 신룡 님께서 일어나실 때 삽화가 들어가겠지.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	좋은 아침이라며 맞이하는 등장인물이\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	제가 아니라는 게 너무 아쉬워요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	이 싸움도 언젠가 구전될 날이\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	분명 오겠지?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	후후… 신룡 님과 있으면\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	정말 멋진 일만 일어나네.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	오늘은 주무시는 얼굴을 계속 보기만 한 건 아닌데요?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	보고 있던 건 행복한 미래였어요.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	현실로 만들기 위해… 오늘도 힘내 봐요.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	깨우러 왔어요. 내 파트너.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	기뻐요. 바로 일어나 줘서.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	모처럼이니까. 잠깐이라도 이렇게 이야기하고 싶어요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	오늘도 둘이서 멋진 하루를 만들어 봐요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	잘 자고 있네.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	동화라면 운명의 상대에게 키스를 받아 깨어나는 장면이려나.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	있지… 나는 당신의 운명이 된 걸까?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	비록 완벽한 상대가 아니더라도 나는…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	당신을 반드시 지킬게.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	내가 좋아하는 이야기는 전부… 행복한 결말이니까.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침이에요. 아직도 피곤하면 무릎베개를 해 줄까요?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	아주 잠깐이라도 싸움에서 벗어나…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	편하게 있는 것쯤은 잘못이 아니에요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	자는 모습이 사랑스러운 건 처음이나 지금이나 똑같구나.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	눈을 떴을 때 제가 있는 건 이제 익숙한가요? 저는…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	당신과의 나날이 일상이 됐지만\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	이곳에 오는 건 역시 특별하답니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	설마, 기사가 된 후에\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	더욱더 특별한 인생이 기다리고 있을 줄은 몰랐어.\x0E\x04\x00\x00
