MID_WU_C_1_IN_#001	귀여운 제가 깨우러 왔답니다~!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	신룡 님, 수면 습관이 좋으시군요.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	저랑 같네요, 기뻐요~!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	흐음, 잠든 얼굴도 예쁘시네.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	모처럼이니 그림으로 그려서\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	기념으로 남겨 둬야겠다.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	이렇게, 이런 식으로, 좋아, 잘 그렸다~!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	아, 이거 말인가요?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	주무시는 모습이 너무 예쁘길래, 그만.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	나중에 카페에 걸어 놓을게요~\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	네? 안 되나요…?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	실례합니다~\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	신룡 님의 침실을 몰래 귀엽게 꾸미러 왔답니다~\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	앗… 좋은 아침이에요~\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	아하하, 제가 온 걸 들켰네요.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	이 작전은 다음 기회에 해야겠네요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	좋아~ 이 틈에~\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	리본하고 꽃하고 프릴하고~ 방울!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	…은 임팩트가 약한데, 종으로 해야겠다.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	좋아, 살짝 울려 볼까?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	으으, 생각보다 소리가 커…!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	신룡 님 죄송해요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	일어났을 때 좋아해 주셨으면 했는데…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	당장 치울게요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	신룡 님, 상담 좀 부탁드려요.\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	제 드래곤 카르밀라가~!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	들어 주세요,\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	제 드래곤인 카르밀라가 최근 잠이 부족해서~\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	잠을 잘 주무시는 용인\x0E\x04\x00\x00
