MAID_LueurWearM	신룡의 아들 평상복
MAID_H_LueurWearM	신룡의 아들만 입을 수 있는 평상복.\n어느샌가 준비되어 있던 옷으로 몸에 맞춘 것처럼 딱 맞는다.
MAID_LueurWearF	신룡의 딸 평상복
MAID_H_LueurWearF	신룡의 딸만 입을 수 있는 평상복.\n어느샌가 준비되어 있던 옷으로 몸에 맞춘 것처럼 딱 맞는다.
MAID_VandrWear	수호자의 정장
MAID_H_VandrWear	제32대 용의 수호자 반드레의 평상복. 수호자로서 평소에도 정장을\n갖춰 입으며 완전히 똑같은 옷이 여벌로 더 있다고 한다.
MAID_FramWear	담홍 수호자의 옷
MAID_H_FramWear	제33대 용의 수호자 프랑의 평상복. 차기 수호자의 복장으로\n비상식량과 신룡 님 전용 메모장을 상의로 감출 수 있는 게 포인트.
MAID_ClanWear	신록 수호자의 옷
MAID_H_ClanWear	제33대 용의 수호자 클랜의 평상복. 차기 수호자의 복장으로\n비상식량과 신룡 님 인형을 상의로 감출 수 있는 게 포인트.
MAID_AlfredWear	화관 왕자의 옷
MAID_H_AlfredWear	피레네 왕국의 왕자 알프레드의 평상복. 의외로 활동성이 뛰어나며\n가슴에는 항상 고향 피레네에 피는 생화를 꽂아 둔다.
MAID_BoucheronWear	튼튼한 셔츠
MAID_H_BoucheronWear	알프레드의 신하 부셰론의 평상복. 셔츠의 단추가 터질 것 같지만\n꽤 오랫동안 버텨 주고 있는 옷이다.
MAID_EtieWear	꽃밭 프릴 의상
MAID_H_EtieWear	알프레드의 신하 에티에의 평상복. 소매와 스커트의 프릴이 특징이며\n전투용 스커트와 같은 무늬가 그려져 있다.
MAID_CelineWear	다과회 왕녀의 옷
MAID_H_CelineWear	피레네 왕국의 왕녀 셀린의 평상복. 고급 레이스와 리본이 티타임을\n즐길 때면 더욱 돋보인다. 목걸이의 보석은 벌꿀 홍차의 색이다.
MAID_LouisWear	기사의 베스트
MAID_H_LouisWear	셀린의 신하 루이의 평상복. 언제든 완벽한 응대를 할 수 있도록\n소매를 접어 고정할 수 있는 장식이 있는 편리한 옷.
MAID_ChloeWear	천마의 스커트
MAID_H_ChloeWear	셀린의 신하 클로에의 평상복. 길거리 음식을 먹으러 갈 때도\n자주 입고 다니지만 워낙 깔끔하게 먹어서 옷을 더럽힌 적은 없다.
MAID_DiamandWear	화염 왕자의 옷
