MID_WU_C_1_IN_#001	신룡 님, ｢기상｣하실 시간입니다.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	호오, ｢미세한 소리｣에 반응하실 줄이야, 과연.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	그럼 저는 이만…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	…｢안 일어나시는｣ 건가.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	곤란하군… 난 일 때문에 바쁜데.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	조금 ｢거친｣ 행동이지만\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	귓가에 금속을 ｢긁는 소리｣라도 들려드릴까.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	왜 그러시죠? 그 ｢불만스러운｣ 표정 말입니다.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	유감스럽게도 ｢목적｣ 달성을 위한 ｢방법｣으로\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	미리 지정된 것은 없지 않습니까?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	…｢조용한 방｣이군. 마치\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	｢묘지｣ 같은…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	다행입니다.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	｢숨소리｣ 하나 들리지 않아서\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	그만 ｢쓸데없는 걱정｣을 했거든요.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	…｢살아 계시는군｣.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	그럼 일어나시는 걸 기다려 볼까?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	언젠가 ｢깨어나신다｣는 걸 알고 있으면\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	｢지루｣하지 않지…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	의외로 바로 ｢기상｣하셨군요.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	｢장기전｣이 될 거라고 생각해\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	｢철학서｣를 읽고 있었는데…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	｢기우｣였습니다.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	항상 잘 ｢주무시고｣ 계시는군요…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	그리고 ｢수면 습관｣도 이처럼 ｢양호｣하시고.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	｢부러울｣ 따름입니다.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	신룡 님.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	이렇게 ｢천 년｣을 주무신 것인가…?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	그렇게나 ｢깊은 잠｣에 빠진다는 건\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	도대체 어떤 느낌이지.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	｢악몽｣은 꾸지 않으셨을지…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	｢기상｣하셨습니까?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	아아, ｢저｣는 신경 쓰지 않으셔도 됩니다.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	어차피 ｢수면｣은 항상\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	｢선잠｣ 정도만 취하니까요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	잘 보니까 ｢살풍경｣한 방이로군…\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	좀 더 ｢물건｣을 둘 생각은 없으신 건가?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	이 방에는 ｢아무것도 없으니｣\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	｢무료｣해서 ｢잠｣이 오지 않겠습니까?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	｢여기서만 하는 얘기｣지만…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	신룡 님께서 놀러 오신 이후로\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	｢비밀의 오두막｣에 더 많은 ｢물건｣이 ｢생기게｣ 되었습니다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	어찌 된 일인지…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	｢기상｣하셨으니\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	전 다시 ｢수집｣하러 가겠습니다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	마음이 내키시면 또\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	그 ｢방｣에 와 주십시오.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	오늘은 깊은 ｢잠｣에 빠지셨군…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	｢방해｣를 하려니 ｢마음이 아프다｣…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	음? 바로 ｢기상｣하시다니\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	제 ｢예상｣과 다르군요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	｢좋은 아침｣입니다.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	｢자는 사람｣의 ｢곁｣에 있는 건 익숙해…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	｢새로운 약｣이라도 조합해서\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	｢무료함｣을 달래야겠군.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	이 잎과 열매를 자르고 으깨서…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	마침 ｢자운의 비약｣이 완성된 참이었습니다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	이걸 ｢드시면｣\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	｢졸음｣이 곧바로 ｢사라집니다｣.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	｢정각｣보다 조금 일찍 도착했다. ｢일｣을 시작해야겠군…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	그렇게 ｢바로｣ 일어나시니\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	왠지 ｢의미심장｣하게 느껴집니다…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	신룡 님과 있으면 ｢질릴｣ 틈이 없군요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	신룡 님께서는 이전에\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	나처럼 ｢쓸데없이 의미심장｣한 ｢말투｣에 흥미가 있으셨는데…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	역시 ｢이 방｣에선 안 그러시겠지.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	훗… ｢말없이｣ 일어나셔서 저를 ｢바라보실｣ 줄이야.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	이번엔 의미심장한 ｢행동｣에\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	｢흥미｣가 생기신 겁니까?\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	｢도착｣했습니다, 신룡 님. 들어가도 ｢괜찮｣으시죠?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	｢제｣가 왔다고 해서\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	급하게 ｢일어나지｣ 마십시오…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	파트너를 깨우는 시간은\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	제 행복이니까요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	자, 오늘은 ｢일어나실 때｣까지 어떤 걸 ｢즐겨｣ 볼까?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	독서나 약을 조합하는 것도 좋지만\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	자고 있는 ｢파트너｣를 바라보는 것도 나쁘지 않겠지.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	당신과 있으면 이런 시간조차 ｢특별｣해져.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	무료했던 내 인생에\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	살아가는 의미를 만들어 줘서… 고마워.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	｢일어나셨군｣.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	자, ｢전투 준비｣를 하시죠.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	세계를 평화롭고 ｢무료｣하게 만들어…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	전 평생 당신과 ｢무료하다｣라고 말하며 웃고 싶습니다.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	역시 ｢살풍경｣하군…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	그래도 그 ｢목걸이｣가 소중하게 ｢놓여져 있다｣는 건\x0E\x04\x00\x00
MID_WU_S_2_IN_#003	이미 알고 있지.\x0E\x04\x00\x00
