MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nComment vas-tu, Madeline ? Est-ce que tu\narrives à t'acclimater à ce monde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nCe n'était pas facile, au début, mais je\ncommence à m'y faire. Que ce soit sur\nle champ de bataille ou ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis bien contente de l'entendre.\nMais surtout, ne te surmène pas, d'accord ?\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Je m'inquiète parce que tu as...\ncette tendance.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nZelestia... Maintenant que nous sommes\ndans ce nouveau monde, j'aimerais que tu\narrêtes de me materner.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Je t'assure que je ne me surmène pas.\nTu n'as strictement rien à craindre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'imagine que je n'ai pas à m'en faire.\nJe ne suis pas la seule ici à veiller sur toi,\naprès tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nOui, j'ai beau être nouvelle, les gens ici\nprennent soin de moi. Je leur suis\nreconnaissante de leur hospitalité.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Elle m'encourage à redoubler d'efforts,\nafin de les remercier de leur bonté.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nTe voilà bien sérieuse. Ça me rappelle Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis désolée. Je n'avais pas l'intention de...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nCe n'est rien. Ta remarque m'a surprise,\nc'est tout.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Il est vrai que je parle un peu comme lui,\net que j'adopte la même attitude. Il était\nmon mentor, après tout.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Il m'a recueillie après la mort de mes parents,\net m'a enseigné l'art du combat.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai été si surprise quand vous êtes arrivés\nà Lythos, tous les deux. Je croyais que tu étais\nsa fille.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nPff... Un frère et une sœur, je veux bien,\nmais pas un père et sa fille, tout de même...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Oh, mais c'est qu'il se fait tard ! J'adorerais\ndiscuter avec toi du bon vieux temps,\nmais je dois m'entraîner.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Nous reprendrons cette conversation\nprochainement, si tu veux bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nEh bien... comme elle a grandi. Elle est en train\nde devenir une charmante jeune femme.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMadeline, j'aimerais que nous reparlions\ndu passé, toi et moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Mauvier et toi, vous vous êtes rencontrés\ndans ton village natal, c'est bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nマデリーン\nOui, je venais de perdre mes parents,\net j'essayais de défendre mon village\nface aux Aberrations.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un jour, une horde telle que je n'en avais\nencore jamais vue est arrivée chez nous.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Nous ne pouvions plus sortir. Le village était\nen proie aux flammes. Les rues étaient jonchées\nde cadavres. Je croyais que c'était la fin.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Un chevalier a alors surgi de nulle part.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nEt ce chevalier, c'était Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nIl était revêtu de l'armure des forces du\nDragon déchu, et portait aussi sa bannière.\nJe l'ai pris pour mon ennemi.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Mais il a exterminé toutes les Aberrations\nautour de moi. Jusqu'à la dernière.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Et quand nos regards se sont croisés,\nj'ai compris qu'il était de mon côté.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nAinsi, tu étais sauvée. Puis vous êtes\nvenus tous les deux jusqu'à moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Tu avais perdu tes parents et ton village.\nTu avais l'air extrêmement triste. Je me\nsouviens que je m'en étais inquiétée.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nOui... Ça me gêne d'y repenser. Et mes\nsouvenirs de ce voyage jusqu'à Lythos\nsont confus.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Sans ce cher Mauvier, j'aurais certainement\npéri en route. Il m'a sauvée tant de fois...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nEt tu as continué de vivre. Tu es si forte,\nà présent. C'est comme si tu étais une tout\nautre personne.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nJe le dois à mes mentors, en particulier à\nMauvier. Il m'a énormément appris.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Après m'avoir prise sous son aile, il devait croire\nqu'il était de son devoir de m'apprendre à me\nbattre. Nous nous sommes souvent entraînés.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Et je ne pourrais même plus te dire à combien\nd'occasions il m'a protégée. Comme au temple...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nJe sais.\x0E\x04\x00\x00
