MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nPouvons-nous commencer, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOui, je pense, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIl y a juste une dernière chose que\nj'aimerais vérifier.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nCette expérience a pour but de simplifier la vie\net rendre les gens heureux, c'est bien ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nAbsolument, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nCe que je vais apprendre en vous étudiant\nva sans aucun doute déboucher sur plusieurs\ndécouvertes.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nJe m'attends notamment à des résultats\nintéressants en matière de qualité de sommeil.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n... Qualité de sommeil ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nAprès tout, vous avez dormi pendant mille ans.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nOn peut raisonnablement dire que personne\nn'a dormi plus profondément que vous. On en\ntrouvera peut-être la raison.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nVous pensez vraiment que c'est possible ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nTrès certainement ! Ce pourrait être une\nbénédiction pour tous les insomniaques.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nJe n'y avais pas pensé. Dans ce cas, d'accord.\nJ'adorerais vous aider dans votre expérience.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nJ'apprécie grandement, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nDans un premier temps, nous allons faire\ntomber le sort de Foudre sur vous plusieurs fois\npour étudier les réactions de votre corps.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nVous vous habituerez assez rapidement à la\ndouleur, mais l'expérience devrait avoir raison\nde vos cheveux.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEn fait, j'ai changé d'avis. Je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リュール\nJe continue de penser à ce que vous avez dit\nà propos du sommeil, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, je vous salue, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nJe suis toujours opposé\x0E\x0A\x00\x06
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nVoulez-vous vraiment perdre votre temps\navec un vieux débris comme moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nVous pouvez parler à bien d'autres personnes\nqui auront un réel impact sur votre vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce qui vous prend ?\nVander vous aurait-il passé un savon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nIl ne s'est pas réjoui d'apprendre que vous\navez failli réduire mes cheveux en cendres.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nEuh... Eh bien, comme je dis toujours,\nil est inutile de ressasser le passé.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nJe sais que cela ne se reproduira plus.\nAlors oublions cela et parlons sommeil.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nJe suis soulagé d'entendre que vous ne m'en\nvoulez pas. Mais tout de même, je ne sais pas\nsi je peux vous être utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nOccupez votre temps de manière plus concrète\net efficace, ou vous finirez par le regretter.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien, il est vrai que je déteste perdre\nmon temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nJe suis bien placé\x0E\x0A\x00\x06
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nJe vous comprends...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMais c'est une raison de plus pour que l'on ait\ncette discussion sans tarder, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nVous avez beaucoup à m'apprendre, et cet\néchange stérile n'aboutira de toute façon\nnulle part.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nSoit. D'un autre côté...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\n... votre intelligence vous perdra !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nMais à votre guise. Mes connaissances sont\nà votre service !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nDites donc, vous apprenez vite, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nC'est parce que j'ai un bon professeur.\x0E\x04\x00\x00
