MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アイビー\nAaah...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nQue signifie ce *gémissement,* Princesse Ivy ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nQue je souffre de maux de tête, rien de plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'espère que vous veillez à ne pas vous *tuer*\nà la tâche.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nCe n'est rien du tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nEt il est inutile de prétendre que mon bien-être\nte préoccupe.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nJe sais que tu ne m'apprécies pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nPermettez-moi de *clarifier* un point.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nLes inquiétudes que je formule quant à votre\n*bien-être* sont parfaitement sincères.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nVous n'êtes pas sans savoir qu'elles relèvent\nde ma *responsabilité*.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nMais vous semblez surtout vous inquiéter des\n*sentiments* que j'éprouve à votre égard.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPermettez-moi donc de les exprimer\n*sans détour*.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nJe n'éprouve nulle *affection* à votre endroit,\nPrincesse Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nMais cela n'a pas la moindre *incidence*.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nLa nature de mes sentiments n'importe\npas, puisque vous pouvez compter sur\nmon *obéissance*.\x0E\x04\x00\x00
