MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nVous pouvez regarder. Ça ne me dérange\npas du tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nEuh, quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nÇa fait un moment que vous me fixez.\nÇa ne me gêne pas. Je sais bien que\nje suis adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nVous admiriez ma beauté, pas vrai ?\nAdmirez-la à loisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nOh, eh bien, je crois que vous avez vu juste.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nJ'admire en effet le soin que vous portez à\nvotre corps et à votre toilette.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nVos cheveux sont si lustrés qu'ils brillent.\nQuant à votre peau... Elle respire la santé.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nJe brûle de connaître vos secrets de beauté.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nHa ha ! Merci beaucoup, ça me fait plaisir !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nJe n'ai néanmoins aucun secret de beauté.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nC'est... c'est impossible.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nVous avez forcément un secret, comme faire\nbeaucoup de sport, ou manger équilibré,\nou autre chose...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nOn ne peut pas avoir votre physique...\nsans faire le moindre effort.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nSi ce que vous dites est vrai, c'est une injustice.\nJe me donne tellement de mal, juste pour être\ntel que je suis.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nJe ne sais trop que vous dire. Je ne fais\nvraiment rien de particulier.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nAllons...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nSoit vous faites quelque chose inconsciemment,\nsoit vous ne voulez pas m'avouer votre secret.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nMais peu importe, je finirai par trouver.\nIl en va de mon honneur de danseur.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\nRrrrooon, pssschiiiit...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nTrès bien. Rosado fait la sieste...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nMmmmmmhhhh... trop mignon...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nIl suit forcément un programme spécial pour\nentretenir son physique. Il ne peut en être\nautrement.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nCertes, je l'ai suivi discrètement et je n'ai\npas réussi à percer son secret.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nHé hé hé... Hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nOh, il dort dans une position terrible.\nPour le maintien, on peut difficilement faire pire.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nHmm... Le sommeil est censé être bon pour\nla peau. Mais tout le monde dort, donc ça\ndoit être autre chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nJe dois m'armer de patience. Il va forcément\nfaire quelque chose de particulier.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x04\x03\x04
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nJe me sens vraiment bien, ce matin !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nAlors, il se lève, et se lave le visage.\nJe vais enfin découvrir son secret !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nIl a forcément recours à quelque crème\nhydratante pour obtenir cette peau de pêche.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nAlors qu'est-ce qu'il utilise ?\nJe veux absolument le savoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\n♪Hmm hmm !♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nIl ne s'hydrate même pas avec une crème,\nc'est étrange.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nIl s'est juste lavé la figure, pour ensuite\nse laver les cheveux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nEt il n'utilise même pas de shampoing...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ロサード\nMe voilà bien réveillé et revigoré !\nAllez, cap sur le petit-déjeuner !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nComment ? Il n'utilise ni démêlant aux\nhuiles essentielles, ni gel parfumé ?\nIl ne les a même pas séchés !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nAlors ce serait vrai ? La beauté de Rosado\nne serait donc le fruit d'aucun programme\nspécifique ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nAllons... Son secret doit résider dans son\nalimentation. Ça ne peut être que cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nJe n'abandonnerai pas tant que je n'aurai\npas trouvé. Je veux avoir le même physique\nincroyable que lui !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nLe poulet rôti est délicieux, aujourd'hui.\nSeadall, vous en voulez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nEsprits des cartes, éclairez-moi de votre\ndivine lumière et révélez-moi le secret\nde Rosado pour entretenir sa beauté...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nPersonne ne peut être aussi beau\nsans avoir recours à quelque ruse !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nIl... il fait ce qui lui plaît, mange ce que bon\nlui semble...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nAlors que moi, je me donne un mal de chien\njuste pour ma danse... Allant jusqu'à renoncer\naux plaisirs de la table !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nEsprits des cartes, êtes-vous absolument\nsûrs et certains qu'il ne fait vraiment\nrien de particulier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHa ha ha ! Vous m'avez observé au quotidien,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nDans ce cas, cette question est inutile.\nVous avez bien vu que je ne faisais rien\nde spécial.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nVous avez raison, je suppose.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nC'est tout simplement incroyable que tout\nen ne faisant strictement rien, vous puissiez...\nêtre si beau.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nInutile de m'envier. Vous aussi pourriez\nmener votre vie comme bon vous semble.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nAlors voilà votre secret ?\nMener votre vie comme bon vous semble ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nHmm... Est-ce qu'éviter de manger ce qui\nme plaît nuirait en réalité à ma danse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nLe véritable secret de la beauté et du bien-être\nest peut-être justement de savoir s'écouter.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nJe me suis tellement obstiné à manger des\nchoses insipides... que c'est exactement\nce qu'est devenu mon art !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nEt voilà, c'est forcément cela !\nL'art de vivre de Rosado en est bien la preuve !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nTrès bien, je ne renoncerai plus à mes petits\nplaisirs, c'est terminé !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nJ'avalerai du poulet rôti à la sauce au miel !\nPeu importe si c'est sucré, épicé, trop sucré\nou trop épicé !\x0E\x04\x00\x00
