MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVotre Divinité, Votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nVotre apparence humaine attise ma curiosité.\nEn quoi les dragons diffèrent-ils des hommes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nEh bien, notre espérance de vie est supérieure.\nEt en général, nous sommes plus forts et plus\nagiles...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nMais pour ce qui est de l'apparence, vous avez\nraison... Nous vous ressemblons beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nIntéressant ! Est-il également vrai que vous\navez dormi à Somniel pendant un millénaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nQu'est-ce qui vous a réveillé\x0E\x0A\x00\x06
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPour être honnête, je ne sais pas trop.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nJe vois. Et que faisiez-vous avant de plonger\ndans ce sommeil profond ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nMalheureusement, je n'ai que peu de souvenirs\nde la période qui a précédé mon réveil.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nHm... C'est fort dommage.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nVous me posez bien des questions, Kagetsu.\nPourquoi vous intéressez-vous tant à\nma personne ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nCela me semble normal... Nous sommes\namis, après tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nAmis ? Nous ne nous sommes pas\nbeaucoup parlé...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nPour moi, nous sommes amis depuis notre\npremière rencontre. Et je considère qu'il est\nimportant de bien connaître mes amis !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nEt vous alors ? Ne voulez-vous pas\nde mon amitié ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nSi, bien sûr !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nParfait ! Je veux tout savoir sur vous,\net nos liens en sortiront renforcés.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nJe suppose que je dois m'attendre à répondre\nà une salve de questions. C'est noté !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVotre Divinité, votre style capillaire est-il\nunique, ou est-ce plutôt courant chez\nles dragons ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nC'est une bonne question... À vrai dire, je n'en\nsais rien. Je n'y connais pas grand-chose,\nen dragons.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nLes dragons ne se connaissent donc pas\neux-mêmes...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nJe regrette. Vous avez tant de questions,\net moi si peu de réponses...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nNe vous en faites pas ! C'est déjà merveilleux\nde pouvoir discuter avec vous !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nDans ma contrée natale, ce sont les Dragons\nde l'est que l'on vénère, plutôt que les Dragons\ndivins ou déchus.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nVoilà pourquoi je vous trouve aussi fascinant\x0E\x0A\x00\x06
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nJ'ignorais que votre peuple vénérait les Dragons\nde l'est !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais en apprendre davantage sur votre\ncontrée natale. Vous voulez bien me la décrire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nElle se situe dans le royaume de Solm, mais\nelle est très isolée. Nous n'avons que peu\nde contacts avec les autres peuples.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nNotre culture est unique et bouillonnante.\nNous avons toutefois tendance au repli sur soi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nVotre peuple souhaite probablement préserver\nvotre culture de toute influence extérieure ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nPeut-être, mais c'est également une manière\nde la confiner.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nCela ne se voit peut-être pas, mais je suis de\nsang royal. Je devais toujours m'entraîner afin\nd'être apte à préserver mon héritage familial.\x0E\x04\x00\x00
