MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEst-ce que je peux vous parler un instant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nQue me voulez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nRien de particulier. J'avais juste envie\nque nous discutions un peu.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Votre voix, votre façon d'être... Tout cela me\nrappelle tant le Mauvier que j'ai connu.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nPourquoi pleurez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis désolée. C'est juste que...\nJe voulais vraiment m'excuser...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nVous excuser de quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nDe vous avoir laissé mourir ! Je vous\nconsidérais comme ma famille !\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Si seulement j'avais été plus forte, à ce\nmoment-là... Si seulement je ne vous\navais pas laissé mourir seul !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Regardez-moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nOui...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nJe n'accepte pas vos excuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nJe ne suis pas celui à qui vous avez causé du\ntort. Ces mots que vous prononcez ne signifient\nrien pour moi.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	J'ai beau avoir les mêmes traits que votre\nancien allié, nous somme deux êtres distincts.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nVous avez raison. J'ai été sotte, je m'en excuse.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Mais vous avez tant en commun avec lui\nque c'est difficile de ne pas avoir l'impression\nqu'il est à nouveau avec moi.\x0E\x04\x00\x00
