MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nTiens, Goldmary ! Est-ce que tu pourrais\nm'apprendre à cuisiner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors je pourrais, oui, mais d'où te vient\ncet intérêt soudain ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nEh bien, j'ai réfléchi...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nQuestion charme, je te dépasse de très loin,\nc'est indubitable...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu peux me la refaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nMais à part ça, tu es meilleure que moi dans\nbien des domaines. La cuisine, notamment,\nest l'un de tes nombreux talents.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nAlors je me suis dit que si je voulais me mesurer\nà toi, il me faudrait apprendre à cuisiner. Ça ne\ndoit pas être bien sorcier !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPardon, mais je n'arrive pas à me remettre\ndu fait que tu t'imagines être plus charmant\nque moi...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nVraiment ? Eh bien, on pourra revenir là-dessus\nun autre jour.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nRetiens juste que je veux apprendre à cuisiner,\net je te veux en tant qu'enseignante !\nAlors, qu'est-ce que tu en dis ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'en dis que tu aurais pu mettre des gants\npour me formuler cette requête.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais bon, comme on est amis...\nC'est d'accord, je veux bien t'apprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nSuper ! Merci, Goldmary !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nBientôt, je serai talentueux en plus d'être\nadorable !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOn verra bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nEt zut ! Goldmary ! Pourquoi mes omelettes\nne sont pas aussi bonnes que les tiennes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nJ'ai pourtant suivi toutes les étapes, comme\ntu me l'as montré ! Que peut-il bien manquer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a une astuce. Tu finiras par l'acquérir\nà force de t'entraîner.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nC'est si simple de manger... Pourquoi la cuisine\nest-elle si complexe ? Je ne suis peut-être\npas fait pour ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu abandonnes déjà, alors que tu as à peine\ncommencé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nJe ne veux pas abandonner, je veux juste\nm'épargner l'angoisse de ne pas être à\nla hauteur dans un domaine...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nRosado...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu as de nombreuses qualités tout à fait\nmerveilleuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOh, c'est trop gentil ! Mais attends, pourquoi\ntu me fais ce compliment, sorti de nulle part ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPour tout te dire, tu es une des personnes\nles plus charmantes qu'il m'ait été donné\nde rencontrer.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais baisser les bras ainsi, juste parce que\ntu n'es pas parfait dès le début...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVoilà qui pourrait bien te faire passer\npour un minable.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEnfin, c'était inévitable de toute manière.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu as décrété que c'était trop angoissant...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors autant annuler les leçons de cuisine.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nAttends.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nJe veux continuer.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nOui ! Ce soir, je serai de corvée repas !\nTout le monde aura droit à une omelette !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa devrait suffire pour te faire la main.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nAlors, Goldmary ? Que dis-tu de mon\nomelette ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nElle est délicieuse. C'est exactement la texture\nqu'il faut.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe savais bien que tu en étais capable.\nC'est pour ça que je ne voulais pas\nque tu abandonnes.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nTes paroles m'ont poussé à m'acharner.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nJe suis une des personnes les plus charmantes\nque tu aies rencontrées, mais que je serais\nminable de baisser les bras.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu as bonne mémoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nCe discours ne m'était pas inconnu.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHortensia m'a dit à peu près la même chose,\nquand nous étions à l'académie.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe sais. Elle m'a raconté comment tu t'étais\ncomporté là-bas, à tes débuts.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nApparemment, tu voulais tellement être\npopulaire que tu n'étudiais pas du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nEt elle m'a dit que je pouvais avoir tout le\ncharme que je voulais, mon manque d'assiduité\nn'en faisait pas moins de moi un minable.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJe ne peux pas compter uniquement sur\nma beauté. Je dois travailler pour m'améliorer.\nTu m'as bien rafraîchi la mémoire à ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'en suis vraiment heureuse. Quel air\nj'aurais eu, moi, à me trimballer un ami\nqui se défile au moindre obstacle ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCela dit, si tu étais vraiment un minable,\non ne serait jamais devenus amis.\x0E\x04\x00\x00
