MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nHortensia, j'aimerais tellement que nous soyons\namies, vous et moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAlors... vous voudriez bien qu'on discute\nun peu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe n'ai rien à vous dire.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMon père est mort par votre faute.\nComment voulez-vous qu'on soit amies ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe me fiche de savoir si vous étiez manipulée\net si vous êtes redevenue vous-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe n'oublierai jamais votre rire alors que mon\npère expirait sous vos yeux.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlors, je vous en prie, laissez-moi tranquille.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJe... je tenais vraiment à vous demander pardon.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nElusia n'aurait jamais dû autoriser le culte du\nDragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nSon pouvoir, par contre... Ça me coûte de\nl'avouer, mais c'est quelque chose que je vous\nenvie.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nSi j'étais née avec le pouvoir qu'il possède,\net même que vous possédez, mon père serait\ntoujours en vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nVous devriez vous réjouir de ne pas être née\ncomme moi. Ma nature me condamne à une\nvie de peur, de souffrance et de persécutions.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nJ'aurais aimé naître humaine. Votre vie m'a\ntoujours semblé plus... supportable.\x0E\x04\x00\x00
