MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nDu besitzt eine bewundernswerte Gelassenheit,\nLyn. Ich erkenne, dass du ein authentisches\nLeben geführt hast.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04リン\nIch folge einfach dem Klang jenes Windes, den\nich in meinem Herzen trage. Aber ich danke dir\nfür das Kompliment.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nIch muss zugeben, Nel, dass ich ein wenig\nerstaunt darüber bin, wie viel stark gewürzte\nSpeisen du isst.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nEs tut mir leid, wenn ich dir Sorgen bereite.\nIch schmecke mein Essen einfach nicht, wenn\nich ihm nicht etwas Feuer verpasse.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04エル\nVielen Dank für die Hilfe in der letzten Schlacht.\nDeine Fähigkeit, mit entfernt stehenden Gegnern\nfertig zu werden, ist fantastisch.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04リン\nWir alle haben unsere Fähigkeiten. Ich stelle\ndir meine gerne zur Verfügung, wann immer\nich kann.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nDeine Fähigkeiten sind so beeindruckend, dass\nich mir meiner Mängel sehr bewusst werde.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04リン\nIch bin auch nicht perfekt. Niemand ist das.\nAber aus diesem Grunde können wir alle\nvoneinander lernen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nDein Umgang mit dem Bogen ist beeindruckend.\nIch bin sehr dankbar, dass ich niemals dein\nGegner war.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04リン\nVielen Dank. Du hast aber auch unglaublich\ngut gekämpft.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nMich interessiert die Quelle deiner Stärke.\nWo hast du deine Kampfkunst gelernt?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04リン\nIch habe mir das einfach durch mein Leben in\nden Ebenen angeeignet. Dort musste ich oft\ngegen Tiere oder Banditen kämpfen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nラファール\nJeder kann sich durch Übung verbessern, aber\nich glaube, dass deinem Bogen eine größere\nMacht innewohnt.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nDein starker Geist fließt durch den Bogen. Du\nbist Teil des Bogen, so wie er Teil von dir ist.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04リン\nDas wird mir etwas zu tiefsinnig, aber du hast\nnicht Unrecht. Wenn ich mich über etwas auf-\nrege, treffe ich meine Ziele weniger gut.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x06\x04リン\nVermutlich bin ich dann in Bestform, wenn ich\nFreunde um mich habe, auf die ich mich verlas-\nsen kann. Daher bin ich froh, dass du hier bist.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch habe das Gefühl, dass wir beide uns gut\nverstehen werden, Lyn. Und mein Gefühl liegt\nmeistens richtig.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04リン\nIch habe das Gleiche gedacht. Mir gefällt, dass\ndir deine Freunde wichtig sind, Zelestia.\x0E\x04\x00\x00
