MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nIch danke dir vielmals, heute mit dir trainieren\nzu dürfen, Diamant. Das bedeutet mir sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nKeine Ursache. Wir sind doch Brüder. Von\nuns wird ein wenig Rauferei sogar erwartet.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nIch bin für dich kein gleichwertiger Partner.\nMein Talent verblasst neben deinem. Ich werde\nso viel lernen wie möglich.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nWir haben alle unsere Stärken und Schwächen.\nSich selbst herabzuwürdigen gehört zu\nLetzterem.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nIch setze mich nicht herab, es ist die Wahrheit.\nWie soll ich gegen den Prinzen von Brodia\nbestehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nDu bist ein Prinz von Brodia, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nJa, ich bin ein Prinz Brodias, aber ich bin\nnicht DER Prinz von Brodia. Ich bin nicht du,\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist schrecklich, so etwas zu denken. Redest\ndu etwa so, wenn ich nicht in der Nähe bin?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nDu kannst dein fehlendes Selbstvertrauen nicht\nmit auf das Schlachtfeld nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDort draußen warten Gegner, die viel stärker\nsind als du. Biete ihnen nicht deine Schwäche\nan.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nJa, Diamant... Ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nWir müssen deine Denkweise ändern, bevor du\nin die Schlacht gehst. Konzentrieren wir uns auf\ndeine Stärken.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDu bist ein talentierter Bogenschütze,\nhabe ich recht?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nDie anderen behaupten das, aber ich bin\neigentlich nicht sehr gut...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nHör auf. Da spricht dein mangelndes Selbstver-\ntrauen. Hast du nicht gehört, was ich über\nSchwäche sagte?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nBesitzt du irgendeine Schwäche, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHa. Gute Frage. Was denkst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nIch kann keine erkennen. Du bist ohne Makel.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nNun, wenn wir nicht bald mit dem Training\nanfangen, wirst du auch keine erkennen. Lass\nuns eine bessere Zukunft für Brodia schaffen!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nJa, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nFür Brodias Zukunft werde ich tun,\nwas ich kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nHngh... Nicht gut genug. So kann ich das\nKönigreich nicht beschützen...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDiamant?! Geht es dir gut? Du bist ja in\nSchweiß gebadet! Was ist mit dir?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... So solltest du mich eigentlich nicht\nsehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nMir geht es gut. Keine Sorge. Ich habe nur mit\neinigen unserer Magier intensiv trainiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nIch habe dich noch nie so erschöpft nach einem\nTraining gesehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nVielleicht hast du dir eine Krankheit einge-\nfangen. Wir sollten mit dir zu einem Arzt,\num dich--\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin nicht krank.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Kannst du dich erinnern, wie du mich\nfragtest, ob ich eine Schwäche besäße?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nNun hast du die Antwort. Dies ist meine\nSchwäche.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nDeine Schwäche ist... mit Magiern zu trainieren?\nIch verstehe nicht ganz.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAls Junge unterlief mir ein leichtsinniger Fehler,\nals ich mit Magie hantierte. Ich verletzte mich\nschwer.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSeitdem... habe ich Angst vor Magie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nDu? Und Angst?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nGanz genau. Deshalb arbeite ich jeden Tag hart\nan mir, um die Angst und meine Schwäche zu\nüberwinden.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDaher ist das Training mit diesen Magiern so\nwichtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nIch war immer überzeugt, du hättest keinerlei\nMakel.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNiemand ist makellos. Ich trainiere jeden\neinzelnen Tag.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst. Du darfst niemandem hiervon\nberichten. Hast du das verstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nKeine Seele wird etwas von mir erfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nIch sollte zurück zum Training. Ich mag es nicht,\ndie Magier so lange warten zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDiamant, du musst dich nicht so anstrengen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nWir sind die Beschützer Brodias. Es ist unsere\nPflicht, auf jede mögliche Art stärker zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nMit dir zu sprechen hat meine Nerven ein biss-\nchen beruhigt. Mir geht es gut. Sorge dich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0C\nスタルーク\nAber, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nEr hat Angst vor etwas. Mein Bruder besitzt\neine Schwäche. Ich kann es nicht glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nHah!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAh! Volltreffer. Das ist gut. Ich treffe noch\n50 weitere Male auf diese Art.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nDu bist wirklich ein Talent im Umgang mit\ndem Bogen, weißt du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nDiamant? Wie lange hast du schon zugesehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nLange genug, um zu erkennen, dass das Bogen-\nschießen wirklich zu deinen Stärken gehört.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nVielen Dank. Aber da ist noch genug Potenzial\nfür Verbesserung.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nIch muss noch mehr üben. Ich möchte besser\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nDa ist sie ja! Das ist die richtige Einstellung. Ich\nwusste, dass mein kleiner Bruder sie in sich hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDiamant, dürfte ich... Dürfte ich dich zu einem\nWettbewerb im Bogenschießen herausfordern?\nSofern du Zeit hast?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! Das klingt nach der Art Spaß, die ich mag.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nWie lautet die Ansage? Wer die meisten\nVolltreffer bei zehn Schuss schafft, gewinnt?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nHört sich gut an. Legen wir los!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x04\x03\x04
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst! Ich bin schockiert. Ich wusste, dass du\nein talentierter Schütze bist, aber das...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nWas redest du denn da? Du hast neun Treffer,\nich nur acht. Ich wurde besiegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nDu preist deinen Bruder, nachdem du ihn in\nseinem eigenen Wettbewerb besiegt hast. Rüpel.\x0E\x04\x00\x00
