MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nKönnen wir beginnen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch denke schon, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nNur ein letztes Mal noch, um ganz\nsicherzugehen...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDieses Experiment dient also dazu, allen Leuten\nauf der ganzen Welt ein besseres Leben zu\nermöglichen. Richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nAbsolut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nIndem ich Euch untersuche, werde ich sicherlich\nein oder zwei neue Einblicke gewinnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nIch erwarte sehr interessante Erkenntnisse\nhinsichtlich eines guten Schlafes.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nGuter... Schlaf?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nIhr habt immerhin 1000 Jahre geschlafen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nMan kann mit Fug und Recht behaupten, dass\nnoch nie jemand so fest geschlafen hat wie Ihr.\nVielleicht finden wir den Grund dafür heraus.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nGlaubt Ihr wirklich, das sei möglich?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nDas tue ich! Das könnte ein Geschenk des\nHimmels sein für alle, die an Schlaflosigkeit\nleiden.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nSo habe ich das noch nie gesehen. Also dann.\nIch helfe Euch gerne bei Eurem Experiment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nDas weiß ich wirklich zu schätzen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
