MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrinzessin Céline? Ihr seid aber noch spät auf.\nStimmt etwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAh, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nNein, es ist nichts. Ich kann heute einfach nicht\ngut schlafen, das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAh. Habt Ihr schlecht geträumt?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nIch habe geträumt, dass mein Bruder gestorben\nsei.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nDiesen Traum hatte ich schon oft. Viele Male,\nseit meiner Kindheit schon.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nWisst Ihr, mein Bruder war früher schwer krank.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nDoch noch immer werde ich das Gefühl nicht\nlos, er könnte mir jeden Moment genommen\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nOh, Prinzessin Céline...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred ist schon lange genesen, keine Sorge.\nEr ist inzwischen der Inbegriff robuster\nGesundheit.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nDas ist er. Er wirkt auf dem Schlachtfeld immer\nso tapfer. Es ist einfach unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nFalls es hilft: Auch ich leide unter solch bösen\nTräumen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nTräume, in denen mir mein Bruder Diamant\ngenommen wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nOh! Tatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nJa. Sie sind etwas düster, deswegen habe ich\nnoch nie mit jemandem darüber gesprochen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nIch verstehe. Ihr könnt mir gerne mehr davon\nerzählen, wenn Ihr mögt.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nDoch heute ist es dafür schon zu spät, denke\nich. Vielleicht ein anderes Mal, Prinz Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nNatürlich. Ich stehe Euch für ein mitfühlendes\nGespräch jederzeit zur Verfügung.\x0E\x04\x00\x00
