MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nHallo, Boucheron. Darf ich einen Moment deiner\nZeit in Anspruch nehmen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nWas kann ich für Euch tun, Prinz Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nIch... Ich bin hier, um dich anzuflehen, mein\nLehrmeister zu werden!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAh. Du hast recht. Ich wäre ein schrecklicher\nSchüler. Wie egoistisch von mir, überhaupt\nzu fragen...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nNein, das ist doch gar nicht... Ich wollte nur\nfragen, was soll ich Euch überhaupt beibringen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nNun, ich... Ich hoffte, du könntest mir zeigen,\nwie man eine Statur wie die deine bekommt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nOh, Ihr wollt ordentlich zulegen, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nIch weiß, mir fehlt Selbstbewusstsein. Ich halte\nes für möglich, dass mein schwacher Körperbau\ndazu beiträgt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nDann habe ich mir vorgestellt, wie ich mit\neinigen kräftigen Muskeln aussehen würde\nund... nun ja...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nHehe, ich verstehe. Ihr wollt Muskeln aufbauen,\num selbstbewusster zu werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nKlar. Da kann ich Euch gerne unter die Arme\ngreifen.\x0E\x04\x00\x00
