MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nEndlich sind wir wieder vereint, Tiki. Es ist mir\neine Ehre, an deiner Seite kämpfen zu dürfen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04チキ\nIch muss für eine wirklich lange Zeit geschlafen\nhaben. Ich bin froh, dass ich wieder zurück bin!\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch weiß nicht, wer mich in den Schlaf gebracht\nhat. Ich erinnere mich nur, es waren sanfte\nHände – so wie deine.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nSanfte Hände...\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nWenn du einverstanden bist, Tiki, würde ich\ndich gerne umarmen.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04チキ\nNatürlich! Gääähn. Bei dir fühle ich mich sicher.\nIch denke, die sanften Hände waren deine\nHände...\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nDu erinnerst dich also daran, wie ich dich\nzurück in den Schlaf geschickt habe. Aber nun\nbin ich froh, dich bei uns zu haben.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04チキ\nIch bin auch froh! Nun werden wir niemals\nwieder getrennt sein!\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch kann mich kaum an dich erinnern, aber aus\nirgendeinem Grund fühle ich mich in deiner\nNähe sicher!\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nDann trügt dein Instinkt. Dennoch werde ich\nmich bemühen, von nun an nett zu dir zu sein.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWas machst du denn für furchterregende\nGrimassen, Rafal? Wir sind Freunde, du solltest\ndich doch freuen, wenn wir zusammen sind.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nSind wir... wirklich Freunde? Nun gut, lass uns\nZeit miteinander verbringen. Was wollen wir\nunternehmen?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWeißt du was, Rafal? Ich hab dich sehr gern!\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nDas beruht auf Gegenseitigkeit. Aber wenn ich\ndaran denke, was ich in der Vergangenheit\ngetan habe...\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04チキ\nMach dir darüber keine Sorgen. Du bist doch\nnun ein ganz anderer.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nHuch. Du erinnerst dich daran und dennoch\nsiehst du in mir einen Freund? Ich verdiene\ndas nicht, aber ich danke dir dafür.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDu bist ein Magiedrache, nicht wahr, Zelestia?\nMöchtest du meine Freundin sein?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNatürlich möchte ich das. Ich hatte kaum eine\nGelegenheit, etwas über deine Heimatwelt zu\nerfahren.\x0E\x04\x00\x00
