MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEine Macht wie die Eure habe ich noch nie\ngesehen. Diese Fertigkeit, Embleme zu mani-\nfestieren... Ich will sie.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nEs ehrt mich, aber ich fürchte, diese Macht\nkann nicht Eure Macht werden. Solltet Ihr\nsie aber brauchen, so helfe ich Euch gerne.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nObwohl Ihr verwundet seid, kämpft Ihr weiter.\nWarum? Wer zwingt Euch dazu?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nNiemand. Ich kämpfe, weil ich die Welt, die ich\nliebe, beschützen will.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIhr kämpft mit all Eurer Kraft für den Frieden.\nEs gibt dort draußen nicht viele wie Euch...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch kann dies nur tun, weil meine Freunde mich\nunterstützen. Ich bin dankbar, dass ich Euch\nebenfalls zu meinen Freunden zählen darf.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nIhr seht in mir... eine Freundin?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nSelbstverständlich. Die Bande, die wir während\ndes Kampfes knüpften, werden bis zum Ende\ndieses wunderschönen Himmels bestehen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nPrinzessin Veronica, ich fühle mich zutiefst\ngeehrt, dass eine kaiserliche Prinzessin\nangeboten hat, an unserer Seite zu kämpfen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIch hasse Formalitäten. Erzählt mir lieber\netwas von Euch...\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nWas habt Ihr denn da in der Hand, Vander?\nHabt Ihr das gemacht?\x0E\x04\x00\x00
