MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Was meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nWas meine ich... wozu?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nKommt schon! Bin ich niedlich? Hübsch?\nSagt doch was!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nJa, sicher, du siehst ganz niedlich aus.\nSo wie immer.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nIst das alles? Ich habe mir heute extra viel Mühe\ngegeben, weil ich besonders liebreizend aus-\nsehen wollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas zumindest hättet Ihr bemerken können!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nIch hatte ja keine Ahnung. Ähm, verzeih,\ndass ich das nicht bemerkt habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nSoll das alles sein?! Hmpf...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnglaublich, dass das nicht funktioniert hat.\nEin trauriges Schmollen sorgt eigentlich immer\ndafür, dass alle extranett zu mir sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, habt Ihr ein besonders Göttertraining\nerhalten, sodass Ihr falsche Tränen sofort\ndurchschauen könnt?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nGöttertraining?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIch glaube, man braucht gar kein besonderes\nTraining, um dein Schauspiel zu durchschauen...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey! Na gut, ich ändere meine Frage.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarum scharwenzelt Ihr nicht um mich herum?\nIch bin unglaublich niedlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nIch behandle andere nicht anders, nur weil sie\nniedlich sind. Ein gutes Herz ist das, was zählt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nFehler! Nett sein ist ganz in Ordnung, aber\nNiedlichkeit ist ein riesiger Vorteil! Das weiß\ndoch jeder!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nAha.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nAlso werden wir das Ganze noch mal versuchen.\nNur, dass ich nächstes Mal noch niedlicher sein\nwerde, damit Ihr das gar nicht übersehen könnt!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Wie findet Ihr mich diesmal?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe mich so angestrengt, um extra-super-\nniedlich auszusehen.\x0E\x04\x00\x00
