MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nIst der Tee zu Eurer Zufriedenheit,\nPrinzessin Céline?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSehr. Besonders das Aroma ist ein Genuss.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nIch rieche einen Hauch Zitrusfrucht mit...\nblumigen Noten, richtig? Mehr als nur eine\nSorte, wenn ich mich nicht irre.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nEs erinnert an Blüten, die man oft in wärmeren\nMonaten vorfindet.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nEin äußerst angenehmer Duft, in seiner\nGesamtheit.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nEure Zufriedenheit ist mein Bestreben.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nDieser schwarze Tee ist eine Komposition\naus Teeblättern aus dem Süden Firenes,\ngetrockneten Fruchtschalen und Blumen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nEr ist himmlisch – so wie immer, wenn du Tee\nzubereitest.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nDie Aussicht auf ein Schlückchen deines\ngebrühten Tees ist eine der kleinen Freuden,\ndie mich jeden Tag überstehen lässt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nHahaha, Ihr seid zu freundlich, Prinzessin\nCéline.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nWo wir gerade beim Thema sind... Erinnert Ihr\nEuch noch an die besonderen Teeblätter, die ich\nneulich erwähnte?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nJa, selbstverständlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nDu meintest, sie würden einen einzigartigen\nund unverkennbaren Tee ergeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nIhr erinnert richtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nWomöglich habe ich einen Weg gefunden,\num an eben jene Teeblätter zu gelangen.\nHättet Ihr Interesse daran?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nWirklich? Du hast recht. Ich würde diesen\nTee nur zu gerne kosten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nAusgezeichnet. Das Warten wird sich lohnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEinfach vorzüglich.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDiese kräftige Note! Dieser vollmundige\nGeschmack! Nie zuvor trank ich solch einen\nschwarzen Tee.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nDann habt Ihr ihn also genossen?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nLouis. „Genossen“ ist eine Untertreibung.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIch habe in meinem Leben schon viele Tees\ngetrunken, doch eine derartige Qualität habe\nich selten gekostet.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nFür dieses Privileg bin ich dir außerordentlich\ndankbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nEs ist eine Freude, Euch zu erfreuen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDürfte ich dich um eine weitere Tasse bitten?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nAber natürlich. Ich verfüge über einen üppigen\nVorrat an Teeblättern, um noch eine weitere\nKanne aufzusetzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nIch danke dir. Aaah, dieser Tee ist eine\nwahre Wonne...\x0E\x04\x00\x00
