MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch stelle gerne meine Macht zur Verfügung,\nso von Drache zu Drache, damit ihr den Krieg\nbeenden könnt.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nEs ist beruhigend, dich an meiner Seite zu\nwissen. Arbeiten wir gemeinsam auf den\nFrieden hin.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x06\x04エル\nIch möchte mehr über dich erfahren, Corrin.\nWie ich hörte, hast du viele Geschwister.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06カムイ\nOh, ich berichte dir gerne davon. Aber dann\nmusst du mir auch ein paar Geschichten\nerzählen.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nEs heißt, du hast für deinen Bruder dein Leben\nriskiert. So etwas Ähnliches habe ich auch\neinmal getan.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nRafal ist mir wichtig. Ich wollte ihn beschützen.\nVor allem wollte ich, dass er sich akzeptiert\nfühlt.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カムイ\nSo ging es mir auch. Ich spürte, dass ich alle\nKonsequenzen des Pfades tragen musste,\nden ich gewählt habe.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nWie es klingt, ist zwischen dir und deinen\nGeschwistern viel vorgefallen. Du musst mir\nmehr darüber erzählen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nIn dir fließt also das Blut der Ersten Drachen.\nIch freue mich darauf, deine Fähigkeiten im\nKampf zu begutachten.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カムイ\nDu verfügst auch über die Kraft der Drachen,\nrichtig? Wie schön, einen Artgenossen um sich\nzu haben.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nIch habe gehört, du kannst dich auch in einen\nDrachen verwandeln. Faszinierend.\nDu musst sehr mächtig sein.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06カムイ\nDas kann ich dir hier leider nicht zeigen, aber ja.\nAls Drachen zu trainieren ist bestimmt eine\nspannende Sache.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIst es wahr, dass du der Beste deiner Geschwis-\nter sein wolltest? Warum? Ging es dir um\nMacht?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nEinst war ich schwach. Um mir den Respekt\nmeines Vaters zu erarbeiten, wusste ich,\ndass ich der Stärkste werden musste.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nDoch dieser Wunsch wurde nie erfüllt.\nWie ironisch, dass ich nun schließlich hier das\nGegenstück meines Vaters bekämpfe.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06カムイ\nIch weiß, wie es sich anfühlt, sich gegen eine\nVaterfigur aufzulehnen. Wenn es dir zu viel\nwird, bin ich für dich da.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch bin ein Magiedrache, Corrin. Ich bin sicher,\nwir zwei Drachentöchter haben eine Menge\nzu besprechen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カムイ\nMagiedrache? Solche Drachen gab es in meiner\nWelt nicht. Ich würde mich sehr gerne mit dir\nunterhalten, Zelestia!\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDie Vier Winde sind entstanden, um Milady Nel\nund Mylord Rafal zu beschützen. Du kannst\ndarauf zählen, dass wir auch dich beschützen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カムイ\nEs ist beruhigend zu wissen, dass ihr alle für\nmich da seid. Ich werde dir zeigen, dass ich\nauch dich beschützen kann, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch bin froh, dass wir es heil zurückgeschafft\nhaben. Ich will nie wieder spüren, wie weh es\ntut, einen Verbündeten zu verlieren.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カムイ\nJa, ich habe auch wichtige Verbündete verloren.\nDarunter einen, der mich gebeten hatte, dort\nfortzufahren, wo er aufhören musste.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カムイ\nWir als die Überlebenden wollen ihre Wünsche\nerfüllen, um den Frieden zu bringen, den sie\nhätten sehen sollen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJa. Lass uns bis zu jenem Tag zusammenbleiben\nund weiterhin jedes Mal heil wieder zurück-\nkommen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCorrin, ich habe noch nie jemanden getroffen,\nder ebenso entschlossen wie gütig ist. Ich spüre,\ndass ich mich auf dich verlassen kann.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06カムイ\nIch bin froh zu hören, dass du so denkst.\nIch werde mein Bestes geben, um deine\nSicherheit zu gewährleisten.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch habe früher das Kämpfen gehasst, bis ich\nbegriffen habe, dass es oft notwendig ist, um\njene zu beschützen, die wir lieben.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nDas Gefühl kenne ich. Aber ich denke, es ist\nwichtig, dass man auch mal wegläuft - um\nden nächsten Zug zu planen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch bin ganz neidisch auf deine Kleidung.\nSie sieht aus, als könnte sie dich vor jedem\nAngriff schützen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06カムイ\nSie hilft gegen Schwerter, aber nicht gegen alle\nanderen Arten von Angriffen.\x0E\x04\x00\x00
