MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nPuh, das ist genug Training für heute.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEine außerordentliche Leistung, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe Euch übrigens ein heißes Tuch für\nEuer Gesicht gebracht. Ich bin mir sicher, es\nwird sehr erfrischend für Euch sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDanke, Vander. Das ist wirklich nett.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAußerdem habe ich Euch saubere Kleidung\nmitgebracht.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nWenn Ihr Euch umzieht, legt Eure schmutzigen\nGewänder in den Korb dort drüben, ich wasche\nsie dann für Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nIch weiß die Geste zu schätzen, Vander, aber\nich würde es vorziehen, meine Wäsche selbst\nzu waschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nEs gibt bestimmt wichtigere Aufgaben, die Eure\nZeit bereits in Anspruch nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nIch bin nur Euch verpflichtet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\nBitte zögert nicht, Eure Wünsche zu äußern.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nAber...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nSchon lange, bevor Ihr erwacht seid, war es\nmeine Aufgabe, Euch zu dienen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nSolltet Ihr die mir aufgetragenen Pflichten nun\nplötzlich selbst übernehmen, so würde dies\nmeine Position überflüssig machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nDeshalb möchte ich Euch bitten, diese\nTrivialitäten auch in Zukunft mir anzuvertrauen\nund Euch nicht weiter damit zu beschäftigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nWie gesagt... ich weiß Eure Hilfsbereitschaft\nwirklich zu schätzen, aber irgendwie fühle ich\nmich etwas mies dabei.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nEs gibt rein gar nichts, weswegen Ihr Euch\nschlecht fühlen müsstet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nUnd nun bestehe ich darauf, dass Ihr Euch\nendlich dieser nassen Kleidung entledigt,\nbevor Ihr Euch noch erkältet.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich habe mich soeben um die\nReparatur und Politur Eurer Waffen gekümmert.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nDanke, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nAußerdem habe ich die nötigen Materialien\nfür die morgige Strategiebesprechung\nzusammengetragen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nBitte werft im Laufe des Tages einen Blick\ndarauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid, aber ich kann das nicht tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWas genau nicht tun?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nVander, haltet Ihr mich für unfähig?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\nWas? Du meine Güte, nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nWir sind Sterbliche, und Ihr seid \x0E\x0A\x00\x10\x06der\x06die Göttliche –\n\x0E\x0A\x00p4unser großartiger Anführer8unsere großartige Anführerin, wenn Ihr versteht.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nEs ist gütig von Euch, die niederen Pflichten,\ndie mir aufgetragen wurden, selbst erledigen\nzu wollen – aber unnötig.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid, aber ich fühle mich nicht wohl\ndabei, einen Diener zu haben. Das bin nicht ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nAh. Bevor ich in Eure Dienste trat, habe ich\nKönigin Lumera ebenso gedient.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nEure Mutter, perfekt in Körper und Geist, hat\nsich niemals über meine Dienste beklagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nMit der Zeit, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, werdet auch Ihr Euch\nhoffentlich an meine Assistenz gewöhnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIch respektiere meine Mutter, und ich danke\nEuch für Eure Dienste ihr gegenüber. Aber...\nich bin nicht meine Mutter.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch bin eine eigenständige Person und durchaus\nin der Lage, auf mich selbst zu achten.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nIch verstehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nIch bitte um Entschuldigung, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nOffenbar habe ich mich Euch aufgedrängt.\nDie Marotte eines alten Dieners.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde Eurem Wunsch folgen und Eure\nBedürfnisse künftig besser berücksichtigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nDanke, Vander. Und bitte gebt mir Bescheid,\nbevor Ihr etwas in meinem Namen erledigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nEs wird sicher Zeiten geben, in denen ich Eure\nHilfe brauchen werde. Nur wäre dann gern ich\n\x0E\x0A\x00<\x1Cderjenige, der\x1Cdiejenige, die Euch um diese Hilfe bittet.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nWünscht Ihr, dass ich mich um Eure Waffen und\nRüstung kümmere, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nNicht nötig. Ich habe ohnehin noch nichts vor\nheute, also werde ich das selbst erledigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIn Ordnung. Dann werde ich mich anderen\nAufgaben widmen, wenn Ihr gestattet.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDanke, dass Ihr mir immer so gewissenhaft zur\nSeite steht!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSelbstverständlich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Das ist doch\nnicht der Rede wert... Überhaupt nicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nIst irgendetwas, Vander?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\n...Hättet Ihr einen Augenblick Zeit für mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nHabe ich! Worum geht es denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nVor einiger Zeit habt Ihr davon gesprochen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, dass Königin Lumera und Ihr nicht\nein und dieselbe Person seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nDoch als jemand, der sowohl ihr als auch\nEuch treu gedient hat, komme ich nicht umhin,\ngewisse Gemeinsamkeiten zu entdecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nGenau genommen vernahm ich gerade eben\neinige solcher Gemeinsamkeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nInwiefern?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nIhr seid rücksichtsvoll und freundlich allen\ngegenüber. Im Gegenzug werdet Ihr von allen\ngeliebt, denen Ihr begegnet.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nDer einzige Unterschied zwischen ihr und Euch,\nwenn ich denn einen nennen dürfte, besteht\ndarin, dass Ihr noch heranwachst.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nVor Euch liegt eine strahlende, grenzenlose\nZukunft – und es ist mein Wunsch, Euch auf\ndem Weg in diese Zukunft zu unterstützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVander, ich...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nIch hoffe, meine Worte waren nicht unbehaglich\nfür Euch. Ich wollte bloß offen und von Herzen\nmit Euch sprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nNein, ich bin froh, dass Ihr so frei mit mir\ngesprochen habt! Und Ihr habt recht, ich habe\nnoch viel zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nMeine Mutter war eine Figur, auf die sich das\nVolk verlassen konnte. Wenn ich an mir arbeite,\nwerde ich hoffentlich auch einmal wie sie sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nヴァンドレ\nIch bin sicher, dass Ihr dieses Ziel erreichen\nkönnt... und werdet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Aus diesem\nGrund bin ich hier und diene Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nSolange Ihr mir zur Seite steht und mich führt,\nbin auch ich zuversichtlich, dass alles seinen\nrechten Lauf nehmen wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nBitte leiht mir weiterhin Eure Stärke, Vander.\nUnd eines Tages, wenn ich selbst stärker\ngeworden bin, werde ich dasselbe für Euch tun!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nGewiss doch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich muss Euch etwas Wichtiges\ngestehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nOh? Sprecht weiter...\x0E\x04\x00\x00
