MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nEure Leistung in der letzten Schlacht war\nwirklich beeindruckend, Ike. Ich würde sagen,\nIhr seid ziemlich stark.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06アイク\nIch sage lieber, dass ich stets danach strebe,\nstärker zu werden.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nLasst uns einen Übungskampf machen, Ike. Ich\nwürde gerne sehen, woher Ihr Eure Kraft\nnehmt – sofern es Euch genehm ist.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06アイク\nIch weiß zwar nicht, wie du das bei einem\nÜbungskampf erkennen willst, aber sicher.\nLegen wir los.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nIhr sagtet, Ihr strebt danach, immer stärker zu\nwerden. Wozu wollt Ihr all die Stärke nutzen?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06アイク\nIch habe keine großen Pläne, ich will einfach\nnur diejenigen beschützen, die mir etwas\nbedeuten.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06アイク\nIch habe genug Trauer und Tod gesehen. Ich\nwill das nicht mehr.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nVielleicht ist gerade diese Entschlossenheit\ndie Quelle Eurer Stärke. Ich werde versuchen,\nvon Eurem Beispiel zu lernen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nラファール\nWie ich hörte. sollst du das stärkste aller\nEmbleme sein. Offen gesagt, bin ich davon\nnicht überzeugt.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06アイク\nDas nenn ich mal eine Begrüßung. Aber ich\nglaube, ich werde deine Ehrlichkeit zu schätzen\nwissen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nUnd? Was denkst du? Meinst du immer noch,\nich sei nicht stark?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nIch gebe zu, deine Hilfe war... hilfreich. Wir\nkönnen uns darauf einigen, dass du von uns\nbeiden der zweitstärkste bist.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nDu scheinst in letzter Zeit heimlich zu trainieren.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nTrainieren? Wieso um alles in der Welt sollte\nich das nötig haben? Ich habe nur ein wenig\ndie Zeit totgeschlagen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06アイク\nDu bist nicht gerade das, was man entgegen-\nkommend nennt, was? Du erinnerst mich an\neinen Bogenschützen, den ich einst kannte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nWenn du genug Zeit zum Plappern hast, kannst\ndu die Zeit auch mit mir zusammen totschlagen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDu bist Ike, nicht wahr? Du bist das Emblem,\ndas ein jeder hier einen Helden nennt. Ich habe\nschon viel von dir gehört.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06アイク\nIch bin kein Held. Ich bin nur ein einfacher\nSöldner.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nZelestia, isst du auch genug? Wenn es hart\nauf hart kommt, wirst du die Energie brauchen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAh, ich lebe schon so lange, ich hab diese\nDinge irgendwie vergessen! Was sollte ich\ndenn mal essen? Was hältst du von Fleisch?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWie ich hörte, hast du in deiner Heimatwelt\neine Gruppe Söldner angeführt. Du hattest es\nals Anführer bestimmt nicht immer leicht.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06アイク\nIch müsste lügen, wollte ich das abstreiten.\nAber ich glaube, einige meiner Freunde hatten\nes schwerer als ich.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06アイク\nIch folgte einfach dem Weg, an den ich glaubte.\nUnd sie sind der Grund, warum das für mich\nüberhaupt möglich war.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nDeine Freunde bedeuten dir sehr viel, nicht\nwahr? Wenn wir zusammen sind, Ike, dann habe\nich das Gefühl, dass ich weiterkämpfen kann.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHey, du da, mit dem Stirnband! Die Schlacht\nwar ziemlich klasse.\x0E\x04\x00\x00
