MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Goldmary! Könntest du mir beibringen,\nwie man kocht?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nKönnte ich, aber woher das plötzliche Interesse?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nIch habe nachgedacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nIn Sachen Niedlichkeit bin ich dir offensichtlich\nmeilenweit voraus.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEntschuldigung?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nAber du bist in vielen Dingen besser als ich.\nUnd Kochen ist eines deiner vielen Talente.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nDaher denke ich, dass ich es lernen sollte, wenn\nich wirklich mit dir wetteifern will. Wie schwer\nkann das schon sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBedaure, aber ich habe den Teil noch nicht\nverdaut, bei dem du meinst, du seist mir in\nSachen Niedlichkeit meilenweit voraus.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nWirklich? Nun, darauf können wir gerne ein\nandermal wieder zu sprechen kommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nDas Wichtigste ist, dass ich Kochen lernen\nwill – und möchte, dass du es mir beibringst!\nWas sagst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNicht gerade der schmeichelhafteste Weg,\num einen Gefallen zu bitten.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber da wir Freunde sind... Na schön, ich\nbringe es dir bei.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nJa! Danke, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nBald bin ich zauberhaft und ein Multitalent!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas werden wir dann ja sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nMenno, Goldmary! Warum schmecken meine\nOmeletts nicht so gut wie deine?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nIch habe es genau so gemacht, wie du es mir\ngezeigt hast. Was stimmt denn da nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs gibt einen Trick dabei. Mit Übung wird es dir\nschon gelingen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nWarum ist das Kochen so viel schwerer als\ndas Essen? Vielleicht bin ich einfach nicht dafür\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGibst du etwa schon auf? Du hast doch gerade\nerst angefangen!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nIch will nicht aufgeben. Ich möchte mich nur\nnicht dem Druck aussetzen, in etwas schlecht\nzu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWeißt du, Rosado...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu besitzt so viele wunderbare Qualitäten.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOooch, danke! Moment, warum machst du mir\nso plötzlich ein Kompliment?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTatsache ist, dass du eine der bezauberndsten\nPersonen bist, die ich kenne.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber aufzugeben, nur weil du nicht sofort\nperfekt warst, ist...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIst das Einzige, was dich wie einen Versager\naussehen lässt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun ja, da kann man wohl nichts tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu hast dich entscheiden, dass du dich nicht\nanstrengen willst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWir werden mit den Kochstunden aufhören.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nWarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nIch möchte weitermachen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nJa! Ich möchte heute das Abendessen zube-\nreiten! Ich werde für alle Omelett zubereiten!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas sollte dir die nötige Übung geben, die dir\nnoch fehlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0A\x08ロサード\nNun, Goldmary? Wie schmeckt das Omelett?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nFabelhaft! Die Konsistenz ist genau richtig.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch wusste, dass du das kannst. Daher wollte\nich nicht, dass du aufgibst.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nDeine Worte haben mich weitermachen lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nIch gehöre zu den charmantesten Leuten, die\ndu jemals getroffen hast, aber ich wäre ein\nVersager, wenn ich zu schnell aufgebe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu erinnerst dich gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nEs waren vertraute Worte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHortensia hat mir fast das Gleiche gesagt, als\nwir noch an der Akademie waren!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch weiß. Sie hat mir erzählt, wie du dich\nkurz nach Eintritt dort verhalten hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu warst so mit deinem Aussehen beschäftigt,\ndass du dein Studium vernachlässigt hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nJa. Und da sagte sie mir, dass ich noch so\nniedlich sein könnte, wenn ich nicht fleißig\nsei, wäre ich ein Versager.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nEs reicht nicht, niedlich zu sein. Ich muss\nmich auch verbessern. Du hast mich daran\nerinnert.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin so froh. Ich hätte nicht gut ausgesehen,\nwenn ich mit jemandem befreundet bin, der\nschnell aufgibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAndrerseits wären wir keine Freunde geworden,\nwenn du ein Versager wärst.\x0E\x04\x00\x00
