MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nPrometto di proteggerti sempre, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nPrincipe Alcryst? Ma cosa dite?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nL'altro giorno, in battaglia, mi hai salvato\nla vita.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nMa certo, sono la vostra attendente. Fa parte\ndei miei doveri.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nMa non me lo merito. Mi sento una nullità in\nconfronto al tuo coraggio e alle tue abilità.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nEd ecco perché d'ora in avanti, sarò io a\nproteggere te, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nMa cos-\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nMa immagino che tali parole siano prive di\nsignificato, dette da una persona inaffidabile\ncome me...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nÈ la terza volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nCome?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nÈ la terza volta che fate voto di proteggermi,\nprincipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nOh. Sì. Ora che ci penso mi ricordo di averlo\ngià detto quando ci incontrammo la prima volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nE anche quella volta al Grande Passaggio, se\nnon ricordo male.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nEsatto. La prima volta ero contenta, e anche\nla seconda...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nVi prego, smettetela di assumervi incarichi non\nvostri! L'attendente sono io, voi siete il principe!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nC-Chiedo venia. Sto solo cercando di essere\nsincero con te...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nQuesto lo so.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nMa mettetevi nei miei panni. Nessun attendente\naccetterebbe di farsi difendere dal proprio\nsignore.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nTi chiedo scusa...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nOh, vi prego non prendetela male. So quanto\nci teniate e lo apprezzo molto...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nMa certo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nLapis? Volevo scusarmi per quel voto che ho\nfatto l'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, principe Alcryst... Non pensateci.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nSono io che dovrei scusarmi per avervi\ncontraddetto. Non avrei dovuto permettermi...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nNon hai fatto niente di sbagliato.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nÈ stato un errore mio non considerare come\nle mie parole ti avrebbero fatta sentire.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nSu una cosa però non mi tiro indietro.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nPenso che tu sia davvero una fantastica\npersona, Lapis.\x0E\x04\x00\x00
