MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nEhi, Rosado! Carino come sempre, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nGrazie, principe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nDivento ogni giorno più carino...\nSarò meraviglioso per sempre!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nEheh. Non ho dubbi. La tua è una bellezza che\nnon sfiorisce mai, scommetto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nMmmh... Lo credete veramente? Non mi\nsembrate troppo convinto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nLe vostre parole mancano di sentimento.\nSembrano aria fritta.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nNon sei gentile a dubitare di me. Sappi che le\nmie parole erano sincere.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nAllora dimostratemelo. Ditemi che sono\nadorabile, ma con convinzione. Solo così vi\ncrederò!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nD'accordo. Sei... come dire? Adorabile come un\nfiorellino di un'oasi del Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nCosì va meglio. Quindi sono il ragazzo più\ncarino che abbiate mai visto?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nMh? Oh, no, non direi proprio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nForse non ho capito bene...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nScusami, ma... Mi sono appena ricordato che\nho un impegno. Cose da principi, sai. Ci si vede!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08ロサード\nAspettate! In che senso non direste proprio?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nCome è possibile?! Principe Fogado, tornate\nqui!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08ロサード\nSalve, principe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nEhi, Rosado! Il sole continua a splendere e tu\ncontinui a essere carino.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nEsatto. Lo sono sempre. Sono persino meglio\ndella scorsa volta, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nIndubbiamente. E la tua fiducia in te stesso\nnon fa che amplificare la cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nLo pensate davvero? Sicuro, sicuro, sicuro?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nLo giuro, davvero.\x0E\x04\x00\x00
