MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Lapis! Ci tenevo a ringraziarti per tutto\nil supporto che stai dando in battaglia\nultimamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nAh, ma non ho fatto poi nulla di speciale.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nSeguivo solo i vostri ordini. Non c'è bisogno di\nringraziarmi, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nCi sono senz'altro guerrieri più dotati di me.\nRingraziate loro, piuttosto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nLapis, ma tu sei forte e reattiva. Dovresti\ncredere di più nelle tue capacità.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nCredere nelle mie capacità? Facile a dirsi...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nSono onorata di essere un'attendente, ma\ntutti sono più qualificati di me. E io non sono\nneanche di origini nobili.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nQuindi sembrerei solo arrogante se mi mettessi\nallo stesso livello degli altri.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nCi vai pesante con te stessa, eh? Probabilmente\nti aiuta a spronarti...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMa non dovresti paragonarti agli altri. Ognuno\nha le sue abilità, in fondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nNon stare troppo a logorarti su queste cose,\nd'accordo? Dovresti essere orgogliosa di te\nstessa, credimi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nM-Ma... Drago Divino... Ugh, non so cosa\nrispondere.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nNon sono abituata ai complimenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nÈ meglio se vado. Con permesso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x04\x03\x04
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nCerto che Lapis ha un complesso di inferiorità\nnon indifferente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nSarà dura farglielo passare. Ma un modo ci\nsarà pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nEh? Dite sul serio? Volete davvero allenarvi con\nme, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nSì! Pensavo che mi farebbe piacere farlo, ogni\ntanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nNon sto nella pelle! Sarebbe bello se poteste\ntrovare un po' di tempo per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAllora, a cosa devo prepararmi, Lapis? In cosa\nconsiste di solito il tuo allenamento?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nComincio con esercizi con varie armi, e poi\nc'è il sollevamento pesi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nMi metto un sacco pesante sulla schiena e\nfaccio una lunga corsa. A volte scalo una\nmontagna.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nDirei che dovrebbe sviluppare un'enorme\nresistenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOh! Se vi allenate con me serviranno dei\npesi anche per voi! Li preparo subito!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nLi... prepari?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nCerto! Non è mica difficile. In campagna dovevo\nsempre preparare tutto a mano.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nIn campagna?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nAh!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nAaaah! Io... volevo dire "compagna"! Sarò\nla vostra compagna di allenamento! Penso\nproprio che vi preparerò dei pesi come i miei!\x0E\x04\x00\x00
