MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nSì, questo è *accettabile*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nZelkov! Facciamo un duello di allenamento!\nAdesso!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nDevi proprio cogliermi sempre di *sorpresa*?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nBasta così poco? Mamma mia! Mi aspettavo\npiù sangue freddo da te.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nNon so se hai la tempra per servire\nla principessa Ivy. Ci vuole una volontà\nd'acciaio!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nQuindi ora ti sfido!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMi *dispiace*, ma sono occupato.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nOccupato a fare che, questa volta? Osservi\nla natura? Modelli la creta?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nA giudicare da quel sorrisetto, ti sei trovato\nuna nuova ossessione delle tue.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nSto dipingendo e ho bisogno di *silenzio*\nper concentrarmi. Se gentilmente volessi\naccontentarmi...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nAha! Sapevo che ti saresti messo a dipingere\nprima o poi! Ma ora lascia il tuo dipinto da\nparte e combatti con me!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nSono estremamente *occupato*. Trovati\nqualcun altro con cui allenarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nZelkov, stai dicendo che l'arte è più importante\ndella nostra amicizia?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nSei il mio unico collega! È importante passare\ndel tempo insieme.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nMh mh...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nTroppo concentrato persino per rispondere.\nMi ignora. Mi sento così solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nZelkov! È giunta l'ora del nostro duello!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nSono *costretto* a declinare l'invito.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nUffa! Sono stufo di sentirtelo dire!\nNon puoi rifiutare tutte le volte!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nSe non accetti di duellare con me, io... io...\ncombatterò contro il tuo dipinto!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nIl tempo per le tue stupide ossessioni lo trovi\nsempre. Per me invece MAI!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nDi questo passo, come faremo a legare?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nCerca di calmarti. Ho compreso le tue\n*preoccupazioni*, ma distruggere il dipinto\nnon servirà.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nSortirebbe l'effetto *opposto* e mi vedrei\ncostretto a non parlarti mai più. Metti giù\nquell'arma, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nEheheh...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\n*Cosa* ci trovi da ridere?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nChe atmosfera tesa! Siamo due rivali sull'orlo\ndi un conflitto!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nFinalmente mi prendi sul serio!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nSe non vuoi affrontarmi da amico, almeno\nfallo da rivale!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAdesso *basta*.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nCosa? Ti stai già tirando indietro? Non ci tieni al\ntuo dipinto?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nVedo nei tuoi occhi la mancanza di *istinto*\nomicida. Sei solo un *bambino* che cerca\nattenzioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nCome ti permetti! Non sono un bambino!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nVattene. Questo è un *serio* avvertimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nMai che mi prenda sul serio...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nZelkov! È giunto il momento...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\n... di smetterla con le sfide. Non mi importa più.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nNon mi sembri molto *contento* della cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nSo di non piacerti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nPerché lo dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nMi pare ovvio! Né a te né a lady Ivy importa\nmolto di me...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nVolevo solo fare amicizia...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Amicizia*? Sei uno sciocco.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nStavo aspettando di farlo in *presenza*\ndella principessa Ivy, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEcco cosa stavo *dipingendo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nCoooosa?! Ma questi...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nHo *terminato* la mia opera. Siamo noi tre.\nTu, la principessa Ivy e io.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nCi sono anch'io...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMe l'ha chiesto la principessa Ivy. Voleva che\nfosse un regalo per te, per *festeggiare*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nFesteggiare cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nIl giorno in cui io e la principessa Ivy\nti *incontrammo*. Sono sorpreso che\nnon te lo ricordi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nOggi è l'anniversario di quel giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nArrivasti al castello di Elusia sfidando a *duello*\nchiunque incontrassi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLa ricerca di avversari *più forti* ti spinse a\nlasciare il tuo paese natale.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSconfissi tutti... finché non arrivasti tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nFu la prima volta che persi un duello.\nEro devastato.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nRe Hyacinth restò ammirato della tua *abilità*\ne ti mise al servizio della principessa Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nNon dimenticherò mai l'espressione sul tuo\nvolto e su quello della principessa Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nEravate entrambi così arrabbiati e contrariati.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nTi eri appena fatto strada tra la *sicurezza* del\ncastello per ragioni che ignoravamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nIn effetti non mi stupisco se da fuori la\nvedevate così... Mi dispiace.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nEro molto arrabbiato, ma ormai ti ho\n*perdonato*.\x0E\x04\x00\x00
