MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDrago Divino! Attenzione! C'è un lupo!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nEh? Dove?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nLupo, ti spiacerebbe lasciare in pace il Drago\nDivino? Ti scongiuro!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nUrgh. Non mi ascolta... Non mi resta altra\nscelta.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMa cosa fa? Non starà mica inchinandosi per\nchiedere scusa come al confine?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nSignor lupo! Chiedo scusa!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nSono consapevole che le mie scuse potrebbero\nsolo innervosirti... e che potresti divorarmi in\nun solo boccone!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nE se finissi nel tuo stomaco, i miei alleati\ndovrebbero perdere chissà quanto tempo a\ncercarmi... A ogni modo, non ho scelta!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nTi prego, anche se non ho il diritto di\nchiedertelo, vai a casetta! Su, da bravo!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nIl lupo se ne sta andando... Da non crederci.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nSe n'è andato...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nGrazie al cielo state bene, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nGrazie a te, Alcryst. Per fortuna non ti sei\nfatto niente. La tua è stata una mossa rischiosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nLa mia vita non vale quanto la vostra. Ho solo\nfatto il mio dovere.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nNon dirlo neanche per scherzo. Ogni vita vale...\nNessuno è superiore a qualcun altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nAh. Avete ragione, Drago Divino. Mh... come\nsempre non sono all'altezza.\x0E\x04\x00\x00
