MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIt's strange... Although we haven't fought\ntogether long, I feel we understand each other.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nI'm glad you feel that too. I hope our bond\ncontinues to grow as we work together.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x02\x08\x06ルフレ\nI'd been hoping to get to speak with you. I feel\nlike our bond was fated, somehow.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nFated... I must be very lucky to be tied to a\ntactician like you. I look forward to talking more.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x0A\x08リュール\nI'm glad that you were both kind enough to\ncome today. It's nice spending time together.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06クロム\nIt's rare for Robin to abandon his reading or\npatrols. He must really like you.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルフレ\nIt feels like the three of us have formed a very\npowerful bond from fighting together.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nI feel it too. I only hope this bond will change\nthe course of fate and the war for the better.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nYour presence is quite reassuring in battle, Sir\nChrom. I will be relying on you.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06クロム\nAnd I will be there, whenever you need me.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVander, is it part of your duty to pluck weeds or\nclear pebbles from the Divine Dragon's path?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWhat? No. Although I am a devoted guardian,\nthat would be going too far. Why do you ask?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nSorry if my prior question seemed strange. The\nknight who served me was a serious busybody.\x0E\x04\x00\x00
