MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nYou know what, Rosado? You're quite cute.\nI've always thought so.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nAw, I'm so flattered! Thank you!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nThe fact that you're so consistently adorable...\nWell, I admire that. What's your secret?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nHmm... Not sure I've got one.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nI guess I just try to be my best self. I think about\nwho I am inside, and...I bring it out.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nYeah?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nSure. Appearances matter, but true beauty\nis what's inside.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nEven the most fashionable ensemble is useless\nif you don't feel it. You've gotta believe in you.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nHm... So that's why I'm not cute. There's\nsomething wrong with what's inside me.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nWhat? Lapis, you're gorgeous.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nNo! I'm not confident at all. Really, there's a lot\nthat I'm self-conscious about.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nLike the fact that I eat grass and shrubs, or that\nI'm so dang strong...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nI didn't catch all that, but I can tell by your\nface it's serious. This really matters to you.\x0E\x04\x00\x00
