MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nPff... Il faut que j'aille inspecter les lieux... mais\nc'est trop dangereux pour m'y aventurer seul...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nJe m'excuse, mais je n'ai pas pu m'empêcher\nd'ouïr ton monologue. Projetterais-tu quelque\nexpédition en terrain inconnu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nIl faut que je te raconte ça, Panette. Le bruit\ncourt qu'une forêt non loin d'ici abriterait\nun vieux manoir...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nAh ? Je n'en ai jamais entendu parler.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nMoi non plus ! Je viens juste d'apprendre ça !\nMais d'après les légendes locales, c'est là que\nvivait un célèbre chevalier...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nCe brave et noble guerrier s'est battu sa vie\nentière comme si la mort ne pouvait l'atteindre.\nEnfin, jusqu'au jour où il est décédé.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nEt les gens racontent que dès le lendemain, on\na vu l'esprit du chevalier errer dans le manoir...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nVoilà qui paraît extraordinaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nLe pauvre homme ne s'est pas aperçu qu'il était\nmort ! À présent, il hante sa propre demeure,\ncomme l'ombre du héros qu'il était jadis...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nCela ne fait-il pas de lui... un revenant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nOh. Euh... Eh bien, je suppose que c'est un des\nqualificatifs qu'on doit pouvoir employer, oui...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nMa foi, j'aimerais fort visionner cet endroit de\nmes yeux ! J'adore les fantômes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nVraiment ?! C'est super ! Allons-y ensemble !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nCela rendra les choses nettement plus faciles\nque d'explorer tout ça à moi tout seul.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nMême le prince Diamant a refusé de m'y\naccompagner, et pourtant il n'a peur de rien !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nAlors je te prie de m'emmener avec toi !\nJe ne puis imaginer plus grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nParfait, marché conclu. Ne viens juste pas te\nplaindre après si, dans un sursaut d'effroi,\ntu en perds tes grandes bottes pointues !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nNous y voilà ! Nous sommes arrivés au manoir...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\n... J'en ai les jambes qui tremblent. Mon\ncœur bat la chamade. Et j'ai la chair de poule !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nHmm... Pas le moindre ectoplasme en vue.\nPoursuivons notre exploration.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nHolà, holà ! Doucement ! Mieux vaut éviter\ntoute précipitation. Le fantôme pourrait être\nen embuscade n'importe où...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nOh, vraiment ? Où ça, par exemple ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMouah ah aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nEh bien, le fantôme pourrait être... juste ICIIIII !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nTu crois ? Moi, je ne vois rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nOooh, ce n'est rien. J'essayais juste de te faire\npeur pour rigoler, Panette.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nTu n'as même pas sourcillé ! Tu dois vraiment\navoir des nerfs d'acier.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nJe ne sais pas... Cet endroit n'est peut-être\npas hanté, finalement.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nJe suis content que le manoir existe bel et bien.\nMais un fantôme qui errerait dans les lieux ?\nMoi, je ne vois rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nIl y a une présence...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nOh, Panette ! C'est bien d'y croire. Moi aussi,\nnormalement, je garde l'espoir, mais là...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nAmber ! Je te dis qu'il est là !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nOh ! Je vois. Je suppose que chaque demeure\na ses fantômes, au sens figuré. C'est vraiment...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nCe n'est pas du tout le sens de mon propos !\nIl est LÀ ! Présent ! Ici ! Regarde !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nOuah...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nOUAAAAAH !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nOh, Panette ! Si tu ne racontes à personne\ncet épisode du « manoir hanté », je le passerai\négalement sous silence.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nLes histoires que j'avais entendues ne faisaient\naucune mention d'un second manoir tout à fait\nnormal dans les parages !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nOui... et ses habitants ne semblaient guère\nenchantés de notre visite.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nC'était fort gênant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nSi seulement cela en était resté là... Mais j'ai\ncru que ce vieillard guindé était le chevalier\nlégendaire ! Je lui ai serré la main...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nJ'ai raconté cet incident au prince Diamant.\nIl en a ri aux larmes, et m'a traité de\n« gourdiflot légendaire ».\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nLe gourdiflot légendaire...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nHa ha ha ! C'est pas mal trouvé !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nOooh, super. Ris un bon coup, vas-y. Moi, il\nfaudrait vraiment que j'apprenne à me taire...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nJe suis en tout cas sincèrement désolé de\nt'avoir entraînée dans cette histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nNe te soucie pas pour cela. J'ai plutôt passé\nun bon moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ? Même si nous n'avons pas vu\nde fantôme ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nOui, cette partie est regrettable, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nJe m'intéresse à bon nombre de sujets que\nles autres considèrent étranges. Les fantômes,\npar exemple.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nTu n'es guère différent de moi, en cela.\nD'autres te trouvent peut-être excentrique,\nmais bon...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nMoi, j'aime bien les excentriques !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nEuh... Je n'ai pas franchement l'impression\nque ce soit un compliment...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nMais voyons, bien sûr que si !\x0E\x04\x00\x00
