MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nHi hi... Vous êtes adorable lorsque vous\ndormez, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHein ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh, bonjour. Vous ai-je réveillé\x0E\x0A\x00\x06
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nVous me regardiez encore en train\nde dormir ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nOui. Je m'en excuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nSi je m'assoupis alors que je suis assis\x0E\x0A\x00\x06
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nC'est très perturbant de se réveiller et\nde constater qu'on vous regarde.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nOh, Votre Divinité, je n'ai jamais\nvoulu vous déranger.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nNéanmoins, vous avez dormi pendant\nmille ans, comme un personnage de\nconte de fées.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nVous avez un air céleste quand vous dormez.\nJe ne peux pas m'empêcher de vous regarder.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nJe comprends, à cela près que je dois être\nridicule, à dormir n'importe où comme ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nNon ! Pas du tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nToutefois, j'ai un compromis à vous proposer,\nsi vous voulez bien m'écouter.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nSi je suis systématiquement présente à votre\nréveil, vous finirez par vous habituer, et ça\nne vous fera plus sursauter.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nEt pour cela, nous n'avons qu'à m'installer\nun lit dans votre chambre.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNon, il n'en est pas question !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nOh, voilà une idée tuée dans l'œuf...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nVous avez dormi mille ans.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nEt quand vous vous êtes réveillé\x0E\x0A\x00\x06
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nVous êtes la représentation parfaite\nd'\x0E\x0A\x00*\x10un héros\x16une héroïne de conte de fées !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nHmm... Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nJe vous assure. Ce n'est pas tous les jours\nqu'on rencontre des gens aussi extraordinaires\nque vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nVous ne menez pas la vie d'une personne\nquelconque. Vous êtes destiné\x0E\x0A\x00\x06
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nJ'aimerais tant être à votre place...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nJe n'en suis pas si sûr\x0E\x0A\x00\x06
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nAh bon ? Et pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nDe lourds fardeaux pèsent sur moi.\nJe ne regrette absolument pas cette vie...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nEt d'ailleurs, vous avez parfaitement raison,\nelle n'a rien de quelconque.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nMais justement, j'y aspirerais bien, parfois,\nà une vie quelconque.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh. J'en suis vraiment désolée.\nJ'étais tellement happée par mon désir\nd'avoir une vie digne d'un conte de fées...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nJe n'ai pas songé une seconde à ce que\npouvait ressentir quelqu'un qui menait\ndéjà pareille existence.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nChloé, c'est inutile de vous excuser. Je savais\nbien que vous ne pensiez pas à mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nCela ne m'empêche pas de me sentir\nquelque peu coupable.\x0E\x04\x00\x00
