MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous seriez prête à tout pour votre frère,\nn'est-ce pas ? Sachez que j'en ferais\nautant pour protéger les miens.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nMerci de vous montrer si compréhensive,\nCamilla, c'est pour moi un réconfort.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nComme il a dû être difficile de vous opposer\nà la volonté de votre père. Moi, je n'aurais\njamais eu la force de le faire.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nC'était une nécessité absolue, car le sort des\nmiens en dépendait. Vous auriez agi de même,\nj'en suis convaincue.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVotre vie prolongée vous permet de profiter\npleinement de la présence des vôtres.\nJe vous envie cela.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nC'est vrai, mais je ne suis pas éternelle pour\nautant, et je savoure chaque seconde passée en\ncompagnie de mes amis, dont vous faites partie.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カミラ\nOooh, et c'est réciproque. Même si le passage\ndu temps finit par nous séparer, vous garderez\nune place dans mon cœur.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nQu'il en soit ainsi. Faisons le serment de ne\njamais nous oublier, pour l'éternité et au-delà.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nラファール\nJe vous ai poussée à vous battre contre votre\ngré dans mon monde, et il est grand temps\npour moi de faire amende honorable.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カミラ\nVous vous repentez déjà depuis trop longtemps\npour vos actes. Tout ce qu'il vous reste à faire\ndésormais, c'est recevoir mon pardon.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous avez grand besoin d'une confidente,\nRafal. Venez, reposez-vous sur mon épaule\net racontez-moi tous vos tracas.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nQuelle idée ridicule. Votre épaule n'a même\npas de consistance matérielle... Puis-je savoir\npourquoi vous me dévisagez de la sorte ?\x0E\x04\x00\x00
