MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nRosado ! Tu as très belle allure aujourd'hui.\nComme toujours, en fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nMerci beaucoup, Prince Fogado !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nChaque jour ne fait qu'accentuer ma beauté.\nJe suis sûr qu'elle ne flétrira jamais !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nHé hé, je n'en doute pas une seconde. Je suis\nprêt à parier que ta beauté sera éternelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nVous le croyez vraiment ? Je ne vous trouve\npas très convaincant...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nVous employez les bons mots, certes,\nmais on sent bien que le cœur n'y est pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nTes propos sont très blessants. Et je te ferai\nsavoir que je suis la sincérité incarnée.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nVraiment ? Eh bien prouvez-le ! Dites-moi\nà quel point je suis adorable. Et faites un effort,\nsi vous voulez que je vous croie.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nD'accord. Tu es... Comment le dire... aussi\ndélicieux qu'une fleur délicate dans une oasis\nde Solm.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nC'est déjà mieux. Donc, je suis la plus belle\npersonne que vous ayez rencontrée ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nHein ? Euh non, sûrement pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nJ'ai dû mal comprendre. Donc je répète :\nHEIN ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nOh, je viens de me souvenir que j'avais\nquelque chose à faire. Quelque devoir\nprincier qui m'appelle. Au revoir !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08ロサード\nNon mais vous ne pouvez pas partir comme\nça ! Qu'entendiez-vous par « sûrement pas » ?\x0E\x04\x00\x00
