MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nBien le bonjour, Pandreo. Aurais-tu un moment\nà me consacrer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nBien sûr ! J'ai toujours du temps pour ma petite\nsœur. Par contre, commence par y aller mollo\nsur les salamalecs.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh, très bien. En fait, il y a quelque chose\ndont je songeais à t'entretenir, et...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nNan, nan. Tu fais encore ta mijaurée.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nTu n'escomptes tout de même pas que...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nEt comment, que j'escompte. Je sais que tu te\nplies en quatre pour avoir l'air chic, mais relax.\nOn est que tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nTu peux laisser tomber ton petit doigt en l'air\nquand tu causes avec ton frangin.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nSoit. Pourquoi tu travailles pour l'Église ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nAlors c'est ça qui te tracasse, hein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nPapa était un ivrogne. Maman était une\nprêtresse dégénérée qui n'était pas fichue\nde s'occuper de ses gamins.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nOn peut même pas appeler ça des parents.\x0E\x04\x00\x00
