MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nTiki, je vous retrouve enfin. C'est un\nhonneur de combattre à vos côtés.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04チキ\nJ'ai vraiment dû dormir pendant très longtemps.\nQu'importe, je suis contente d'être de retour !\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe n'ai aucun souvenir de la personne qui m'a\nplongée dans le sommeil, si ce n'est qu'elle\navait les mains délicates, comme vous.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nLes mains délicates, dites-vous...\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nPardonnez-moi de vous importuner, Tiki,\nmais j'aimerais serrer votre main un instant.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04チキ\nOuiii, bien sûr ! Je me sens tellement en sécurité\navec vous... Je pense que les mains délicates\nque j'ai évoquées étaient les vôtres.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nAinsi, la mémoire vous est revenue...\nQuoi qu'il en soit, je suis heureuse de\nvous retrouver parmi nous pour de bon.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04チキ\nMoi aussi ! Plus rien ne pourra nous séparer !\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe ne me souviens pas très bien de vous,\nmais mon instinct me dit que je suis en\nsécurité à vos côtés !\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nVoilà le genre d'intuitions qui peut vous attirer\nde graves ennuis, mais je tâcherai malgré tout\nde me montrer bienveillant à votre égard.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nPourquoi affichez-vous toujours une grimace\nmenaçante, Rafal ? Nous sommes amis,\nvous devriez avoir le sourire.\x0E\x04\x00\x00
