MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, j'aimerais vous remercier de votre\ndur labeur aujourd'hui. Vous, comme\nles Sentinelles.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nHa ha ! Du dur labeur, vous dites ? Allons,\nce n'était vraiment rien !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nNous n'avons dû résoudre aucun conflit.\nÀ part quelques Aberrations, nous n'avons\npour ainsi dire rien eu à faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nJ'aimerais en avoir plus, des journées pareilles...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nVous êtes toujours si... décontracté.\nC'est probablement pour cela que votre\npeuple vous aime tant.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nEn tout cas, en tant qu'allié\x0E\x0A\x00\x06
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nQui ne perd jamais son sang-froid, vraiment ?\nOh, vous allez me faire rougir.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nMais merci pour le compliment. Que diriez-vous\nde dîner ensemble à l'occasion ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nTous les deux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nOui ! Rien que vous, moi, et des questions peu\nsubtiles, du genre... Qui est votre meilleur\nami et pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nEuh... C'est assez personnel, quand même.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nVous pourriez me révéler un rêve secret...\nVous savez, un de ceux qu'on n'ose avouer\nà personne...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNon ! C'est encore pire.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nJ'apprécie votre désinvolture, mais vous\npoussez la plaisanterie un peu loin !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nVous voulez que je devienne aussi sérieux\nqu'assommant ? Mais qui serais-je sans\nmes airs de voyou ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nOui, vous devez avoir raison. Il est difficile\nde vous imaginer sans cette insouciance que\nvous arborez en toutes circonstances.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nD'ailleurs, c'est peut-être bien ce qu'il y a\nde plus plaisant en vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nOuf ! Je vais m'arrêter là, je crois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nVous prétendez être un voyou, mais vous\nsuivez une discipline de fer quand il s'agit\nd'exercice.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nHein ? Mais ça fait combien de temps que\nvous me regardez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nUn certain temps. Les Sentinelles seraient\ntrès motivées de vous voir vous entraîner si\nintensivement.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nAh non, elles ne le seraient pas. Et elles ne\nle verront pas, car je compte sur vous pour\nla boucler.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nPourquoi ? Il n'y a aucune honte à s'entraîner.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nNon, mais j'ai une réputation à tenir,\nvous comprenez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nTout le monde croit que je suis décontracté\nen permanence. Et pour conserver le moral\ndes troupes, je dois maintenir cette illusion.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nJe... Je ne vous suis pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nSi les Sentinelles savaient à quel point\nje m'entraîne dur pour les combats, elles se\nsentiraient obligées de faire de même.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nLa peur, l'inquiétude et l'épuisement...\nTout cela est contagieux, vous savez.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nC'est pour ça que je suis toujours de bonne\nhumeur. Mon devoir est de rester positif pour\nmaintenir le moral général.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nJe vois. Je m'excuse de vous avoir si mal jugé.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nEt comme vous me l'avez dit, je la bouclerai.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nMerci, Votre Divinité. Vous avez toute\nma gratitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nDécidément, vous ne cesserez jamais de\nme surprendre, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nEh bien, je vois que vous vous entraînez\nencore de toutes vos forces.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nVotre Divinité, que faites-vous ici ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nVous avez accepté de faire comme si vous\nn'aviez rien vu, la dernière fois. Alors pourquoi\nvous revenez à la charge ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nPardonnez-moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nC'est-à-dire que vous vous entraînez si dur,\net à l'abri des regards... J'ai pensé qu'un brin\nde compagnie vous ferait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nHa ha ha ! Sa Divinité s'inquiète pour moi ?\nQu'ai-je fait pour avoir pareille veine ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nFogado, j'aimerais faire quelque chose\nqui vous ferait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nAh oui ? J'apprécie cette intention, mais je suis\nun prince, vous savez, alors je ne manque pas\nde grand-chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEt ce dîner dont vous parliez ? On pourrait\napprendre à mieux se connaître autour\nd'un bon repas.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nVous souhaitez dîner avec moi ?\nNous installer ensemble et manger ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nC'est tentant, vraiment ! Je n'ai encore\njamais dîné avec un dragon. Mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nMais là, tout de suite, je ne peux pas. Désolé !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nVous déclinez mon offre ? Aïe.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nNon, ne le prenez pas comme ça. Ce dîner\navec vous, c'est la récompense ultime, et je\nne l'ai pas encore méritée.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nContinuez à m'attirer avec cette carotte.\nAu moins, j'aurai un objectif que je devrai\nm'efforcer d'atteindre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nJe comprends. J'espère seulement que vous\nne serez pas déçu, au final. Enfin, dites-moi\nquand vous serez prêt.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nMerci. Maintenant, je dois me remettre au\ntravail.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nCe n'est pas en lambinant que je trouverai\nles meilleures plaisanteries pour les Sentinelles,\net pour mon peuple !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nCe repas était succulent, Fogado.\nEt le restaurant était sublime, lui aussi.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nフォガート\nDe mon côté, le dîner avec le Dragon divin\ncorrespondait en tous points à mes espoirs.\nÇa valait le coup d'attendre.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nAvec tout ce qui nous arrive, je suis\ncontent\x0E\x0A\x00\x06
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nフォガート\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nフォガート\nIl y a quelque chose d'autre que j'aimerais\nconcrétiser.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nAh bon ? S'agirait-il par hasard d'un de ces\nrêves secrets qu'on n'ose avouer à personne ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nフォガート\nNon, rien à voir avec ça.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nフォガート\nQuoique, si, peut-être, en fait.\nCe que je voudrais, c'est... Eh bien...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nフォガート\nVotre Divinité, j'aimerais qu'à présent,\nnous devenions des alliés, en public comme\nen privé. Et pour toujours, vous me suivez ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAh oui ?! Eh bien...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nフォガート\nCe n'est pas le voyou qui vous parle. Là, je suis\nsérieux. Je n'ai jamais besogné aussi dur pour\nobtenir un dîner !\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nJ'étais loin de connaître vos sentiments,\nvraiment...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nフォガート\nJe ne comptais pas vous le dire.\nJe pensais emporter ce secret dans la tombe.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nIl est vrai que vous avez l'air de tenir\nà garder vos secrets bien cachés.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nCombien en gardez-vous, d'ailleurs ?\nVous pourriez avoir demandé à tout le monde\nd'être votre allié pour l'éternité.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nフォガート\nAlors là, pas du tout ! Je suis très sélectif.\nVous êtes vraiment l\x0E\x0A\x00\x08\x02e\x02a seul\x0E\x0A\x00\x06
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Je plaisante ! Je voulais juste\nvous faire marcher un peu.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nJe sais bien que vous n'êtes pas qu'un\nvoyou décontracté. Vous êtes aussi fiable et\ntout à fait sincère.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nC'est pour cela que j'aimerais vous donner ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nフォガート\nL'Anneau du Pacte ? Mais Votre Divinité,\ncela veut dire que...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nQue votre rêve secret peut se réaliser.\nVous voulez que nous soyons alliés pour\nl'éternité, et c'est également mon cas.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nIl faut croire que moi aussi, j'ai mes petits\nsecrets, car cela fait longtemps que je veux\nvous offrir cet anneau, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nフォガート\nVraiment ? C'est un grand honneur et surtout...\nun grand bonheur !\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nTant mieux. Et juste pour être clair\x0E\x0A\x00\x06
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nフォガート\nMerci, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nフォガート\nLe voyou décontracté qui se tient devant vous\nsera votre sincère allié pour l'éternité.\x0E\x04\x00\x00
