MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHa yah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nAah ! Votre Divinité ! Qu'est-ce que vous brillez,\nquand vous transpirez !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHa yah !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nHé ! Hé ! Par ici ! Hé ho !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nAah ! Sa Divinité a posé les yeux sur moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nJe remercie l'univers d'avoir créé un être\nsi incroyable et si... brillant.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nEuh... Framme ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nOh, pardon ! Est-ce que je vous déconcentre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEh bien, vous ne m'aidez pas à me concentrer...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nOups ! Désolée, désolée.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nDites, je viens en qualité de présidente\ndu fan-club du Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nJ'ai... un fan-club ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nEh oui ! Notre mission est de vous assister.\nC'est pour cela que je viens vous apporter\nencore plus de motivation.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nOh. Merci pour vos encouragements.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nMais pourriez-vous me les apporter autre part\nque... juste sous mon nez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nBien sûr. Je vais reculer un petit peu.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nQuatre, trois, deux, un, qui est le Dragon divin ?\nVous ! Vous ! Vous ! VOUS !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nÇa ne m'a pas particulièrement aidé\x0E\x0A\x00\x06
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHa yah !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPfiou. Allez, il est temps de faire une petite\npause et de prendre un verre d'eau.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nOoooh ! Le Dragon divin est si élégant\nquand il se désaltère !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nNote pour le fan-club : le Dragon divin\nadooore boire de l'eau.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nHé, Framme ? Je peux vous parler un instant ?\nC'est assez important.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nVous voulez avoir une conversation importante\navec MOI ? Pincez-moi, je rêve ! Est-ce réel ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNon, vous ne rêvez pas, et oui, c'est réel.\nÉcoutez, je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nVous pouvez mettre le holà aux encouragements\net à tout le reste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nJ'apprécie votre enthousiasme, mais\nsérieusement... j'ai du mal à me concentrer.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nNos batailles sont plus difficiles les unes que\nles autres, je ne peux pas me permettre d'être\ndistrait\x0E\x0A\x00\x06
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nV-Vous avez raison. Je voulais vous apporter\nmon aide, mais je n'ai fait que vous ennuyer.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nOh ! Je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nNon, ce n'est pas votre faute. Je pleure\nsimplement parce que je suis inutile...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nJe vous promets que vous n'aurez plus à\nvous arracher les cheveux à cause de moi !\nVos cheveux si soyeux et si distingués !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nOh, Framme...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nFramme, excusez-moi pour ce que j'ai dit.\nJe ne voulais pas vous froisser.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nC'est pas grave. C'est moi qui suis désolée\nd'avoir éclaté en sanglots, comme ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nJe me sens... si proche de vous depuis que vous\nvous êtes réveillé\x0E\x0A\x00\x06
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nDepuis AVANT votre réveil, en fait.\nJe m'asseyais à côté de vous et je vous\nracontais ma vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nOui. Si quelque chose de chouette m'arrivait,\nje vous apportais la bonne nouvelle avec un\nénorme sourire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nOu si j'étais triste, je venais m'asseoir près\nde vous et je pleurais une bonne fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nC'était si facile de parler avec vous. Chaque\njour, je m'installais à vos côtés et j'attendais\nvotre réveil.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe... n'en avais aucune idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nJe sais que vous ne pouviez pas m'entendre.\nTout se passait dans mon imagination.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nEt puis vous vous êtes réveillé\x0E\x0A\x00\x06
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nFramme, j'ai un service à vous demander.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nS'il vous plaît, recommencez à m'encourager\ncomme vous le faisiez.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nQuoi ?! Mais vous avez dit que...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nC'est vrai. Mais c'était avant de savoir que vous\nm'avez tenu compagnie pendant si longtemps.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nEn ce qui me concerne, vous pouvez crier et\nme déconcentrer autant qu'il vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nOh, Votre Divinité... Vous êtes aussi incroyable\nque je vous ai toujours imaginé\x0E\x0A\x00\x06
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nBon. Moi, Framme, présidente du F.C.D.D,\njure de continuer de vous apporter mon soutien\nle plus sincère.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nEn tant que plus grande fan, je continuerai\nde vous encourager de toutes mes forces !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nParfait. Je n'en attendais pas moins.\x0E\x04\x00\x00
