MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nBonjour, Jean. Tu es un *médecin* en herbe,\nn'est-ce pas ? Puis-je te demander\nd'approcher un instant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nHein ? Ben ouais, je veux devenir médecin.\nPourquoi cette question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nTu m'as l'air mal à l'aise. Je ne t'ai pas fait\n*peur*, j'espère ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nEn ce cas, je te présente mes excuses. Loin de\nmoi l'idée de *susciter* la peur.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nJe pourrais tout reprendre du début et te\nsaluer à nouveau ? Serais-tu plus *à l'aise*\nsi je m'adressais à toi en position assise ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nEuh, non. Ça va.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nFort bien. Alors *approche*. Ton avis\nm'intéresse.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nÀ propos de quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est au sujet de *remèdes* que j'ai mis\nau point.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nLes voici. Celui-ci s'appelle *l'élixir azur*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nAh oui ? Et ça a quel effet ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIl calme le martellement qui afflige le crâne,\net inspire la *sérénité* d'un ciel azur.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nAh d'accord, c'est contre le mal de tête, quoi...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPrécisément. Quant à la *teinture écarlate*, elle\natténue les lésions qui rongent l'épiderme.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nUne sorte de pommade, quoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nCes noms font quand même un peu prétentieux,\nnon ? Élixir azur et teinture écarlate, je veux\ndire...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nQue dis-tu ? Je n'ai pas bien *entendu*.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nNon, rien. Je causais dans mon coin.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ジャン\nVous avez fait du bon boulot, en tout cas.\nFaut croire que vous êtes un grand médecin.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nDe fait, ma mère était un médecin de talent.\nElle m'a *initié* à son art.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nQuoi qu'il en soit, s'ils te paraissent\n*acceptables*, j'aimerais te faire don\nde ces remèdes.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06ジャン\nOh, merci beaucoup, Zelkov. Je m'y attendais\npas trop, mais vous êtes quelqu'un de bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nMerci encore pour vos remèdes. J'ai pu aider\nplein de gens. Tout le monde était ravi !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nTant mieux, mais c'est ma mère qui *mérite*\ntes louanges. C'est elle qui les a inventés.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nOù est votre mère ? J'aimerais lui dire merci\nen personne.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est impossible, je le crains. Son *trépas*\nremonte à plus d'une décennie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nOh, je savais pas. Je voulais pas vous\nfaire de la peine.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nInutile de te sentir mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nNul doute qu'un individu tel que moi n'est pas\nfacile à élever et qu'il lui a fallu faire preuve\nd'une bonté intarissable.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nSon amour radieux parvenait à illuminer\nmes journées les plus sombres.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nCe que vous dites, ça me rappelle ma maman.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nElle ressemble beaucoup à la vôtre. Moi aussi,\nelle me chouchoutait. Elle faisait tout pour\nme transmettre son amour.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAs-tu également *perdu* ta mère ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nNon, la mienne est toujours vivante. Même si\nses hanches la font souffrir.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nÇa fait longtemps que je l'ai pas vue...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nCe doit être difficile de vivre *loin* d'elle.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nOuais, c'est sûr. C'est bientôt son anniversaire,\nmais je sais pas trop quoi faire, cette année.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nD'habitude, on fête nos anniversaires ensemble.\nMais là, ça va être compliqué.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nPourquoi ne pas lui écrire une *lettre* ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nMmh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nC'est une super idée ! J'aurais dû y penser plus\ntôt ! Merci, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nInutile de me remercier. La joie d'un enfant me\n*suffit* amplement.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nAu fait, j'ai écrit une lettre à ma maman après\nnotre dernière discussion...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nJ'aimerais l'envoyer aujourd'hui, mais d'abord,\nje préfère vous la lire.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nAssurément. Ça ne me dérange *pas* le moins\ndu monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nMerci. Bon, alors, ça dit...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\n« Chère maman, joyeux anniversaire.\nJ'espère que tu vas bien. »\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\n« De mon côté, je me porte bien, même si\nj'ai fait la connaissance d'un type... assez\nmystérieux. »\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nMais qui est ce type *mystérieux* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\n« La première fois qu'il m'a abordé, mes genoux\ntremblaient. "Approche", qu'il m'a dit. »\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\n« Il a souri un peu, en disant qu'il ne\nvoulait pas m'effrayer. »\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\n« Là je me suis dit : "Je suis fichu. Il va à coup\nsûr me trucider." »\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nTu parles de *moi* ? Je vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\n« Mais après, je me suis rendu compte que\nc'était un bon bougre. »\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\n« En fait, c'est lui qui m'a inspiré cette lettre. »\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\n« Tu m'as toujours dit de ne jamais juger\nquelqu'un du premier coup. Et tu as\ntotalement raison. »\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\n« Maintenant que je vis loin de toi, je me rends\ncompte que tu en sais, des choses. »\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\n« C'est une chance d'avoir une maman comme\ntoi. J'espère que tu resteras en bonne santé\npour longtemps. »\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\n« Je compte bien être auprès de toi pour\nton prochain anniversaire. Embrasse papa\nde ma part. »\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\n« Ton fils qui t'aime, Jean. »\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nC'est tout. Vous pensez qu'elle est bizarre,\nma lettre ? C'est pour son anniversaire,\naprès tout...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nNon, pas du tout. Je la trouve *parfaite*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nJe suis surpris qu'elle parle de *moi*, mais\npuisque j'ai fait bonne impression, il n'y a pas\nlieu de se plaindre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nEnvoie ceci avec la lettre, s'il te plaît. C'est de\n*l'huile obsidienne*.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ジャン\nObsidienne ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nOui. On l'applique sur la peau. Ce remède a\npour effet de soulager les *douleurs* de\nhanches.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nMerci, Zelkov. Pour l'huile et pour tout le reste.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nSi tu souhaites réellement me témoigner ta\nreconnaissance, prends bien soin d'elle.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nJe n'ai jamais pu remercier mes parents. C'est\nun regret qui m'accompagnera le restant de\nmes jours.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nNe fais pas cette erreur. N'oublie pas de leur\ndire que tu tiens à eux tant qu'ils sont encore\nde ce monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ジャン\nJe vais suivre vos conseils, Zelkov. Je veux être\nun fils modèle.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne peux qu'approuver.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ジャン\nEt surtout, je compte vous traiter comme\nun ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ジャン\nLa prochaine fois que vous concoctez\nun remède, venez me trouver !\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nTon invitation me touche *grandement*.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nEn d'autres termes, j'accepte avec\n*grand plaisir*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nMerci, Jean.\x0E\x04\x00\x00
