MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nMerci de m'avoir proposé d'être ton partenaire\nd'entraînement, Diamant. Ça me touche.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPas de problème. Tu es mon frère, après tout.\nEntre frères, il est normal de se bagarrer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nMais je ne suis pas un partenaire à ta hauteur...\nOn ne joue pas dans la même cour. J'essaierai\nde progresser autant que possible.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nNous avons tous nos forces et nos faiblesses.\nL'autodénigrement constant figure d'ailleurs\nparmi les secondes.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nCe n'est pas de l'autodénigrement, c'est la\nvérité. Comment veux-tu que je l'emporte face\nau prince de Brodia ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nTu es prince de Brodia toi-même, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nCertes, je suis un prince de Brodia, mais\nje ne suis pas LE prince de Brodia. Je ne suis\npas comme toi, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nQuel triste point de vue. Est-ce ainsi que\ntu parles en mon absence ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nUn tel manque de confiance n'a pas sa place\nsur le champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDes adversaires bien plus forts que toi\ns'y dresseront. Ne leur présente pas tes\npoints faibles.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nOui, Diamant... Je comprends.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nNous devons changer ton état d'esprit d'ici\nle prochain combat. Nous concentrer sur\ntes points forts.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nTu es un excellent archer, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nC'est ce que disent les gens, c'est vrai, mais\nen réalité, je ne suis pas si doué...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nÇa suffit. L'autodénigrement reprend le dessus.\nTu ne m'as donc pas entendu quand je parlais\ndes points faibles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nEt toi, est-ce que tu as des points faibles,\nDiamant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ! Bonne question. À ton avis ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nAucun ne me vient à l'esprit. Tu es exempt\nde défauts.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEn tout cas, tu ne risques pas d'en découvrir\nsi on ne commence pas l'entraînement. Nous\ndevons bâtir un avenir meilleur pour Brodia !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nOui, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nPour l'avenir de Brodia, je me battrai de\ntoutes mes forces.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nArgh... ça ne suffit pas. Je ne peux pas\nprotéger le royaume ainsi...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDiamant ! Ça va ? Tu es en nage !\nQu'est-ce qui t'arrive ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Tu n'es pas censé me voir dans\ncet état.\x0E\x04\x00\x00
