MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nVeyle... ¿Por qué me miras así?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEs que... ¿Seguro que te encuentras bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nSí, de verdad. Aunque ha sido una experiencia...\nConvertirse en aberración... y luego volver...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nPero estoy perfectamente.\nY te lo debo a ti, Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nQué alivio...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nT-también quería pedirte disculpas.\nPor todo... Todo lo que he hecho en el pasado.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nNo fui lo suficientemente fuerte\ny mucha gente murió por mi culpa.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSé que no merezco perdón; pero, si pudieras\nperdonarme, aunque sea un poquito... Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNo fue culpa tuya, Veyle. El Dragón Caído\nte controlaba. Es el único culpable.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nDices que eres débil, pero te liberaste\nde su influencia. Fue impresionante.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nGracias...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nQuiero seguir haciéndome poderosa y ser\nun dragón como tú... ¡capaz de salvar el mundo!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nHaré todo lo posible para que se haga realidad.\nTú me ayudarás, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nFaltaría más. Para algo soy tu hermano mayor.\x0E\x04\x00\x00
MID_RELIANCE_C_#015_F	\x0E\x03\x02\x0A\x08リュール\nFaltaría más. Para algo soy tu hermana mayor.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nTe ayudaré en lo que pueda. Es lo menos que\npuedo hacer tras estar tanto tiempo ausente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNo te preocupes. Estaré a tu lado, hermanita.\nNada podrá pararnos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\n¡Bien dicho!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n¿Te acuerdas de cuando me regalaste\nla piedra dragón?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOjalá pudiera decir que sí... pero todo lo que\npasó antes de despertar es un recuerdo borroso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nTú y yo solo nos habíamos visto una vez,\nhace ya mil años.\x0E\x04\x02\x00
MID_RELIANCE_B_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nTú y yo solo nos habíamos visto una vez,\nhace ya mil años.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Una vez nada más?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nAjá.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nTodos nuestros hermanos habían muerto\ndurante la guerra.\x0E\x04\x00\x00
