MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLo darías todo por tu hermano, ¿verdad?\nSiento lo mismo por mi familia...\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nGracias por mostrarte tan comprensiva, Camilla.\nMe reconforta enormemente.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nDebe de haber sido difícil enfrentarte\na tu propio padre. Yo nunca fui capaz.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nFue fruto de la necesidad más imperiosa: para\nproteger a los míos. Tú habrías obrado igual.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCon una vida tan larga como la tuya, habrás\nforjado muchas relaciones... Siento envidia.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nCierto, pero mis años también tienen un límite.\nDisfrutemos del tiempo que pasemos juntas.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カミラ\nBien dicho. Aunque en algún momento debamos\nsepararnos, te recordaré siempre.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nLo mismo digo. Me comprometo a recordarte\nde aquí a la eternidad, Camilla.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nラファール\nEn nuestro mundo, te forcé a luchar en contra\nde tu voluntad. Es hora de que expíe mis culpas.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カミラ\nYa te has arrepentido de aquello lo suficiente.\nPor mi parte, estás más que perdonado.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nNecesitas una confidente, Rafal. Ven, apoya\nla cabeza en mi hombro y cuéntamelo todo...\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nTonterías. Tu hombro ni siquiera es tangible...\n¿Qué ocurre? ¿Por qué me miras así?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCompruebo que, por mucho que tus amigos se\npreocupen por ti, siempre te apartas de ellos...\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nHe causado la muerte de mi hermana y\nla destrucción de un mundo. No tengo perdón.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06カミラ\nTus amigos no comparten esa opinión.\n¿No crees que merecen algo de confianza?\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nPuede... que tengas razón. Gracias, Camilla.\nTrataré de ver las cosas desde otra perspectiva.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQué maravilla tener un ejército tan numeroso...\nEn mi mundo, pocos luchaban. Es alentador.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カミラ\nSí, y contamos con grandes guerreros...\n¿Qué tal si vamos a hablar con todos ellos?\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSostuve las manos de un soldado para\ncalentarlas, pero huyó. Tendría miedo de mí...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カミラ\nNo te vengas abajo. La próxima vez, antes de\nhacer nada, ofréceselo. Verás que no te temen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMe cuesta encontrar a alguien que me permita\nmimarlo. ¿Existirá algún truco para lograrlo?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カミラ\nMuéstrate como eres: cálida y afectuosa. Esos\nlazos surgen de forma natural, sin forzarlos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カミラ\nYo creo que cuidas muy bien de todo el mundo,\nZelestia. Me encanta charlar contigo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nContigo resulta fácil hablar de cualquier tema.\nSi necesitas que te caliente las manos, dímelo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nUsar la vestimenta para intimidar al enemigo...\nTus ideas son fantásticas, Gregory.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nGracias. Yo debo decir que tu armadura también\nasusta lo suyo. ¡Nadie se atreverá a atacarnos!\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nPelear no es lo tuyo, ¿verdad? ¿Por qué insistes\nentonces en participar en las batallas?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nMauvier no era mi hermano de verdad, pero\nheredé su cargo y quiero honrar su memoria.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nEntiendo que te preocupes por un hermano aun\nsin vínculo de sangre. Pero no te excedas, anda.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo lo haré. Al fin y al cabo, no soy un guerrero,\nsino un cobarde: solo se me da bien escapar.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06カミラ\nPero huyes para poder luchar de nuevo, ¿no?\nEso demuestra tu valor.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nQue un Emblema me dedique esas palabras\nresulta muy alentador. Gracias, Camilla.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHacía mucho que no hablábamos. Te veo\ntan mona y tan fuerte como siempre.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nGracias, Camilla. Pero aún debo entrenar mucho\nsi quiero que se cumplan mis sueños.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nマデリーン\nCamilla, agradezco tu amabilidad, pero te ruego\nque no me trates como a una chiquilla.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06カミラ\nAy, perdona, cariño. Es que eres un encanto,\nsobre todo cuando muestras tu lado más fiero.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMe gusta cuidar de chicas trabajadoras como tú.\nY más aún cuando muestran tanto arrojo.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nSolo cumplo mi deber como caballero. También\nse me exige destacar en el campo de batalla.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カミラ\nCierto. Tienes mucha fuerza de voluntad, pero\na veces no pasa nada por dejar que te mimen.\x0E\x04\x00\x00
