MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\n¡Hola, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\n¿Siempre estás... así de tenso?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nNo es mi intención.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\n¡Relájate, hombre! ¿No se te quita\nel mal humor al ver esta cara tan mona?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nMe temo que así es como soy.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nY no pretendía ofenderte con mi expresión,\nno sé cómo reaccionar ante las cosas "monas".\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\n¡Así que es eso! Ya lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n¿Qué es lo que entiendes?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nAún no sabes apreciar las cosas adorables.\n¡No me extraña que seas tan gruñón!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nYo te enseñaré a amar la belleza\npara que puedas disfrutar de la vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nNo es necesario.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\n¿Estás de broma?\n¡Es un asunto de máxima prioridad!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nNo poder apreciar la belleza es como...\nno poder saborear el picante de un estofado.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nMmm... Me gustan los estofados picantes.\nBien, adiéstrame sobre este tema.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! Ya verás lo mucho que te va a gustar.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nMira, esta caja para accesorios no parece gran\ncosa, ¿no? ¡Mal! ¡Tiene orejas de conejo!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\n¿Esas orejitas no son lo más mono\nque has visto nunca?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nEs cierto que parece un conejo, sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nYa... Y, ¿qué me dices de este pañuelo?\n¡Tiene unas preciosas flores veraniegas!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nEl bordado es exquisito.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nPero ¿qué tiene esto de "mono"?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nLo siento, soy incapaz de ver\nlo que quieres que vea.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nEres duro de pelar, pero creo que podemos\nlograrlo. Volvamos a lo básico.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nPiensa en un momento de tu vida en el que se\nte aceleró el pulso y el corazón te dio un vuelco.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\n¿Un vuelco?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nSí, en plan: "¡Ay, qué mono! ¡Es tan adorable\nque podría morirme ahora mismo!".\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\n¡Ya sabes!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nEh... Sí...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nUna vez me alcanzó una flecha venenosa\ny el corazón me dio un vuelco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nEl veneno no tiene nada de adorable...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nLo lamento, me temo que nunca podré\naprender a discernir qué es "mono".\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nMe eduqué entre acólitos del Dragón Caído;\nfue una época de mucho sufrimiento para mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nNo lograron lavarme el cerebro,\npero perdí del todo la noción de "adorable".\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nNo creo que nunca llegue\na comprender su significado.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nNo te rindas, Mauvier...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nDisculpa, tengo que irme.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHola, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado. ¿Sigues empeñado en que aprenda\nqué es "mono"? ¿No dejé clara mi postura?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nLo sé. No te pillé en buen momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nAlguien tan centrado y altruista como tú\nno puede olvidar la guerra hasta que acaba.\x0E\x04\x00\x00
