MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Podemos hablar un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\n¿Necesitas algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNo, simplemente pensé que podríamos\ntener una pequeña conversación.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Tu voz y tus formas... me recuerdan mucho\nal Mauvier que conocí.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\n¿Por qué lloras?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nLo siento. Es solo que...\nLlevaba tanto tiempo queriendo disculparme...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Por dejarte morir! ¡Éramos como familia!\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Si hubiera sido más fuerte por aquel entonces...\n¡Si no te hubiera dejado allí solo!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nMmm...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Mírame.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nSí...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nNo puedo aceptar tus disculpas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nYo no soy la persona agraviada.\nTus palabras carecen de significado para mí.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Puedo tener el mismo aspecto que tu antiguo\naliado, pero yo no soy él.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nTienes razón. Siento haber sido tan estúpida.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Es solo que... os parecéis tanto, que me cuesta\nno pensar que lo tengo de vuelta.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nReconozco que yo tuve esa misma sensación\ncuando nos conocimos.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nTú también te llamas Mauvier, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nSí.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nSupongo que ya lo sabes,\npero yo me llamo Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_C_#024	Si te parece bien, me gustaría\nque fuésemos amigos.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06モーヴ\nDe acuerdo, Zelestia.\nSerá un placer trabajar contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nLo mismo digo, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Tú también estás descansando?\n¿Te importa si te hago compañía?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nFaltaría más.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNo me quitas ojo de encima.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nPerdona. Me resulta tan maravilloso pasar\ntiempo en tu compañía...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nYa veo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nTranquilo, no te estoy tomando por mi Mauvier.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Pero la compañía de un nuevo amigo\nes igual de agradable.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nAjá. En cualquier caso, siento cierta curiosidad\npor mi otro yo. ¿Cómo era él?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nEl Mauvier que conocí fundó los Cuatro Vientos.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	En ocasiones era algo maniático, pero también\nera fuerte y amable. Un lugarteniente sin par.\x0E\x04\x00\x00
