MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Cómo te encuentras, Nel?\n¿Te cuesta habituarte a tu nueva vida?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nEn absoluto. De hecho, me siento igual\nque antes de sumirme en mi profundo letargo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMe alegra oírlo. Y espero que acudas a mí\nsi necesitas cualquier cosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nAntes de llegar aquí, Rafal me informó sobre\nlas circunstancias que me permitieron despertar.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Conocías el proceso, pero no garantizabas\nque tuviera éxito.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Y, pese a ello, hablabas de mi llegada como si\ndieras por hecho que iba a despertar. ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nTienes razón: no había garantías. Pero tenía fe.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nExplícate.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nDecidí tener fe en nuestro rencuentro, Nel,\npor mucho tiempo que llevara.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04エル\nYa veo.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	En verdad eres la bondad personificada,\nDivinidad.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Solo espero que no deposites esa fe\nde manera irreflexiva. Adiós.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nJe, je. A estas alturas, ya debería\nhaberme acostumbrado a sus reprimendas.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Pero me alegra verla animada.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	No cambies nunca, Nel.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDivinidad, querría tener unas palabras contigo\nantes de que te retires a tus aposentos.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh, oh... ¿Qué he hecho esta vez?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nPosiblemente ni te hayas percatado.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Noté tus esfuerzos por protegerme del peligro\nen la última batalla, y te estoy agradecida.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Sin embargo, resultaste \x0E\x0A\x00\x1C\x0Cherido\x0Cherida en el proceso.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEntonces te diste cuenta...\nSí, recibí un golpe, pero no fue grave.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nIncluso una herida superficial puede producir\nmucho dolor. Permíteme sanarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh, gracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nCierto Dragón Divino que conocí también\nse tomaba las lesiones a la ligera.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Eso sí, destacaba igualmente por su empatía:\npriorizaba siempre el bienestar de los demás.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Como pilar irremplazable de este ejército,\ndebes ser más consciente de lo que eso supone.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nLo entiendo, y me disculpo por ello.\nEn adelante, tendré más cuidado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nEs fácil pronunciar tales palabras;\nlo complicado es respaldarlas con hechos.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nJa, ja. No me das un respiro, ¿eh?\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Por cierto, Nel. Quería preguntarte una cosa.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	¿Me parezco mucho al Dragón Divino\nde tu mundo?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\n¿A qué se debe ese repentino interés?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEn realidad, llevo preguntándomelo\ndesde hace tiempo.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Cuando me salvaste la vida en tu mundo,\ndijiste que no podrías soportar perderme.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	¿Significa eso que...?\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Cuando me miras, ¿de verdad ves\nal Dragón Divino que conocías?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nLa herida está limpia y está sanando rápido.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Tómate tu tiempo para descansar y recuperarte.\nHasta pronto.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nGracias, Nel. Eso haré. Buenas noches.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nMe alegra comprobar que descansas\ncuando tienes ocasión, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEstoy aprovechando que tengo algo de tiempo\npara seguir tu consejo y reposarme, para variar.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Ojalá pudiera permitirme este lujo\nmás a menudo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nQue tu paz interior te permita conciliar el sueño\nen cualquier momento... Eso sí es felicidad.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Muchos son incapaces de apreciar tal fortuna,\ny tú te esfuerzas por ofrecérsela a los demás.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Por ello, tienes todo mi respeto.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\n¿Respeto? Bueno, ¿dónde está la auténtica Nel\ny qué has hecho con ella?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nNo sé de qué te sorprendes.\nEs la pura verdad; no debería extrañarte tanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Aunque quizá lo haya disimulado\nmejor de lo esperado.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nUn poco sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04エル\nCreo que he encontrado una respuesta\na la pregunta que me formulaste anteriormente.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	En realidad, ya la conocía desde hace tiempo,\npero era incapaz de expresarla en palabras.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nTranquila, lo comprendo.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Pero, ahora que te ves preparada,\nme gustaría escucharla.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	¿Me ves como al mismo Dragón Divino\nque conociste antaño?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04エル\nPara nada. Aunque compartan nombre\ny sus ojos se parezcan, son bien distintos.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Tanto fuera como dentro del campo de batalla,\nsolo veo \x0E\x0A\x00\x10\x04al\x08a la \x0E\x06\x03\x00 que tengo delante.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Es a ti a quien deseo proteger\ny a tus enemigos a los que aniquilaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nMe alivia oírte decir eso. Gracias.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Espero que sepas que esa devoción es\nrecíproca. Yo también deseo protegerte.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	No quiero volver a perderte.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\nEsas palabras... No es fácil para mí oírlas,\nDivinidad.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	No obstante, quedarán grabadas por siempre\nen mi corazón.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Luchemos \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas para defender aquello\nque nos es preciado.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nDivinidad, antes de que partas hacia la batalla,\npermite que te ayude con los preparativos.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nTe lo agradezco, Nel.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	Yo ya estoy \x0E\x0A\x00\x18\nlisto\nlista, pero me harías un favor\nsi te ocuparas de los demás.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04エル\nEntendido.\x0E\x04\x02\x00
MID_RELIANCE_S_#005	(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\n¿Sucede algo?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04エル\nDisculpa: mi ofrecimiento no era sino\nuna excusa para pasar tiempo contigo.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	Estoy preocupada.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nHáblalo conmigo. Quizá pueda ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04エル\nNo solo te veo librar un combate tras otro, sino\nque ahora te has enfrentado a la muerte misma.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Sin duda, esta guerra te está agotando\nfísica y mentalmente. Dime, ¿cómo te sientes?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nEstoy bien, de veras.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Como sospechas, me encuentro algo \x0E\x0A\x00 \x0Ecansado\x0Ecansada,\npero eso no me impide seguir adelante.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	De hecho, me siento más en forma que nunca.\x0E\x04\x02\x00
