MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, quisiera darles las gracias a ti\ny a los Centinelas por su desempeño hoy.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\n¿Y eso? ¡Si ha sido pan comido!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nNo hemos tenido que mediar en ninguna disputa\ny apenas había un puñado de aberraciones.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nYa quisiera que todos los días fuesen así.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nSiempre te muestras muy relajado... Quizá\npor eso gozas de la admiración de tu pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nComo \x0E\x0A\x000\x16aliado tuyo\x16aliada tuya, es un verdadero placer\nluchar junto a alguien así de imperturbable.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nAsí que imperturbable, ¿eh?\nCreo que me voy a ruborizar.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nGracias por el cumplido.\n¿Y si vamos a cenar por ahí una noche?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\n¿A cenar?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\n¡Sí! Usted, yo... y algunas preguntas indiscretas.\nComo... ¿con quién se lleva mejor y por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nEso es muy personal.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nPodría contarme su secreto más inconfesable.\nLo que más le avergüence.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\n¡Ni hablar! ¡Eso menos todavía!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nAunque admiro tu talante despreocupado,\nesa actitud está fuera de lugar.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\n¿Preferiría verme serio y formal? No. Si no\nme portara como un sinvergüenza, no sería yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nSupongo que tienes razón. Me cuesta imaginarte\nsin esa actitud tan desenfadada.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nQuizá esa sea tu faceta más fascinante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nBueno... mañana será otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPara considerarte un poco sinvergüenza,\nveo que no dejas de lado tu entrenamiento.\x0E\x04\x00\x00
