MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\n¡Louis! ¿Ya me estabas espiando otra vez?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nEn efecto. A ti y a todo tu grupito\nde doncellas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nContemplarlas juntas no deja\nde maravillarme.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nLo dices de tal manera que casi suena\ncomo si estuvieras en un museo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nPara mí es puro arte. Ni las más famosas\ngalerías de todo el mundo se pueden comparar.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nHay tantos detalles en los que fijarse,\nque podría pasarme así todo el día.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\n¿Ese es el único motivo por el que lo haces?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nIgual que quien se recrea con un hermoso\npaisaje, solo me siento y me dejo cautivar.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nNo veo en ello perjuicio alguno, y tú más\nque nadie coincidirás conmigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nSi lo pones así, debo darte la razón.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nHe advertido cómo te abstraes y fantaseas\nante la visión de cualquier escena pintoresca.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nComo una princesa y su caballero... un príncipe\ny su siervo... un pegaso junto a una bella dama...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nHay tantas imágenes hermosas\nen los cuentos de hadas... ¡Me encantan!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nEn ese sentido, somos almas gemelas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nTe propongo una cita para regocijarnos\nobservando cosas algún día.\x0E\x04\x00\x00
