MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nQué extraño... Apenas hemos luchado juntos\ny, aun así, siento que nos entendemos bien.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nMe complace que coincidamos en ello, y espero\nque nuestro vínculo siga estrechándose.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x02\x08\x06ルフレ\nTenía ganas de hablar contigo. Siento\nque el destino ha unido nuestros caminos.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\n"El destino"... Soy afortunad\x0E\x0A\x00\x08\x02o\x02a de tener a un gran\nestratega como tú. Espero poder conocerte más.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x0A\x08リュール\nMe alegra que me hayan honrado con su\npresencia. Disfruto de su compañía.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06クロム\nRobin no suele desatender en balde los libros\nni las patrullas. Creo que te aprecia de verdad.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルフレ\nLos combates que hemos librado juntos\nhan forjado un vínculo sólido entre los tres.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nComulgo con eso. Ojalá que este vínculo sirva\npara cambiar el destino y el curso de la guerra.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nTu presencia en el campo de batalla me infunde\nconfianza, Chrom. Cuento contigo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06クロム\nEstoy a tu disposición siempre que lo necesites.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVander, ¿retirar guijarros y hierbajos del camino\ndel Dragón Divino está entre tus obligaciones?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\n¿Cómo? No. Soy un vasallo abnegado, pero eso\ntraspasaría los límites. ¿Por qué lo preguntas?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nDisculpa si eso que te pregunté sonó extraño.\nA mí me servía un caballero solícito en exceso.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nY pensabas que mi conducta era la misma, ¿no?\nAunque comprendo la dedicación del caballero.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNos mueve un afán de servidumbre irrefrenable.\nTomo nota sobre lo de arrancar hierbajos.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06クロム\nYa haces más que suficiente, y yo también\ndeseo ayudar. Apóyate en mí en combate.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nClanne, ¿te estás escondiendo de mí?\nPorque se te ve de lejos.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\n¡Ay! Perdóname, Chrom.\n¡Es que impones mucho!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\n¿Tienes hermanos, Chrom? ¿Cómo son?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クロム\nMi hermana mayor era un alma compasiva\nla pequeña, una muchacha amable y risueña.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nUf, ojalá fuera tan fuerte como tú.\nAsí podría servir mejor al Dragón Divino.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クロム\nNo andas falto de fuerza,\npero seguirás progresando si te lo propones.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クロム\nAl principio, no destacaba por mi vigor. Lo fui\nadquiriendo gracias a mis amigos y a mi pueblo.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nMuchas gracias por los ánimos.\n¡Pienso esforzarme al máximo!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nQuería expresar formalmente mi disposición a\ntrabajar contigo. ¡Lo sé todo del Dragón Divino!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06クロム\nEstupendo. Cuando tenga alguna pregunta\nsobre \x0E\x0A\x00\x10\x04él\x08ella, ya sé a quién acudir.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nRobin y tú cuentan como un solo Emblema,\n¿no? ¿Qué hacen fuera del campo de batalla?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06クロム\nYo, entrenar y dar paseos. Robin se entrega\na la lectura de novelas y grimorios.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\n¿Cómo puedo ser una guerrera tan fuerte\ncomo tú, Chrom?\x0E\x04\x00\x00
