MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDivinidad, he de decir que tiene unos ojos\nmuy evocadores. Este parece un tomatito.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\n¡Oh! ¡Y este es como un arándano azul!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVaya... Gracias...\nEso era un cumplido, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nPor supuesto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nLos tomates y los arándanos son dos preciados\ntesoros con que nos obsequia la naturaleza.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nEstoy versado en la gastronomía de diferentes\nlugares del mundo. De ahí la analogía.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nMmm... Qué inspirador...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSupongo que tiene sentido que un chef\nobserve el mundo y vea ingredientes.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nPara nada. Yo debería estarle agradecido...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nMe ha permitido inspirarme en esos ojos\nde tomate y arándano que tiene.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nEs impresionante, Bunet. Conoces muchísimos\nplatillos de todo el mundo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\n¡Todavía me queda mucho por aprender!\nLa inspiración surge cuando menos la espero.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nAspiro a experimentar todos los sabores...\nY crear platillos para que la gente los disfrute.\x0E\x04\x00\x00
